text,translated_text,clean_output
"Мутация яңы генетик вариация өҫтәй, ә һайлап алыу уны асыҡ вариация пулынан сығарып ташлай.","Bashkort: Мутация яңы генетик вариация өтәй, ә һайлап алыу уны асы вариация пулынан сығарып ташлай. English: Genetic mutation is a variation of the genetic code, which is the code of genetic information. It is a change in the genetic code that results in a new genetic trait. Genetic mutation is a type of genetic change. Genetic mutation is a type of genetic change. Genetic mutation is a type of genetic change. Genetic mutation is a type of genetic change. Genetic mutation is a type of genetic change. Genetic mutation is a type of genetic change. Genetic mutation is a","Genetic mutation is a variation of the genetic code, which is the code of genetic information. Genetic mutation is a type of genetic change. It is a change in the genetic code that results in a new genetic trait. Genetic mutation is a"
Атом бомбаһының эш асылы – ул атом ядроһын күп протондар һәм нейтрондар менән тоташтырыу өсөн ҙур энергия талап ителеүе.,Bashkort: Атом бомбаһының эш асылы – ул атом ядроһын күп протондар һәм нейтрондар менән тоташтырыу өсөн ур энергия талап ителеүе. English: Atom bombs are the most powerful weapons ever created. They are the most dangerous weapons ever created. They are the most destructive weapons ever created. They are the most dangerous weapons ever created. They are the most destructive weapons ever created. They are the most dangerous weapons ever created. They are the most destructive weapons ever created. They are the most dangerous weapons ever created. They are the most dangerous weapons ever created. They are the most dangerous weapons ever created. They are,Atom bombs are the most powerful weapons ever created. They are They are the most dangerous weapons ever created. They are the most destructive weapons ever created.
Ядро үҙе ике киҫәксәнән – нейтрон һәм протондан тора.,Bashkort: Ядро үе ике киәксәнән – нейтрон һәм протондан тора. English: The core of the ee and ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee,The core of the ee and ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee ee
Был зум-объективтарға сифат йәһәтенән фокус оҙонлоғо тотороҡло булған объективтар менән алынғанға торошло һүрәттәр яһарға мөмкинлек бирә.,Bashkort: Был зум-объективтарға сифат йәһәтенән фокус оонлоғо тотороло булған объективтар менән алынғанға торошло һүрәттәр яһарға мөмкинлек бирә. English: The zoom lens was a telephoto lens. Focusing the lens was very difficult. The lens was very heavy. English: The zoom lens was a telephoto lens. Focusing the lens was very difficult. The lens was very heavy.,Focusing the lens was very difficult. The lens was very heavy. The zoom lens was a telephoto lens.
"Улар веб-проксиҙан бер нисә сәбәп буйынса өҫтөнөрәк: улар http ғына түгел, бөтә Интернет-трафиктың йүнәлешен үҙгәртә.","Bashkort: Улар веб-проксиан бер нисә сәбәп буйынса өтөнөрәк: улар http ғына түгел, бөтә Интернет-трафиктың йүнәлешен үгәртә. English: The web-proxy server is a server that provides a web-based interface to a web server.",The web-proxy server is a server that provides a web-based interface to a web server.
Интерактив дизайн һеҙҙең медиа производствоһы тураһындағы фараздарығыҙҙы ҡабаттан баһалауығыҙҙы һәм һығылмалыраҡ уйларға өйрәнеүегеҙҙе талап итә.,Bashkort: Интерактив дизайн һеең медиа производствоһы тураһындағы фараздарығыы абаттан баһалауығыы һәм һығылмалыра уйларға өйрәнеүегее талап итә. English: Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media production. Interactive design and media,Interactive design and media Interactive design and media production.
"Был дөйөм ҡулланыуға инә, ләкин рельстарҙың тимер өҫлөктәре вагондарҙың ағас тәгәрмәстәренең тиҙ туҙыуына килтергән.","Bashkort: Был дөйөм улланыуға инә, ләкин рельстарың тимер өлөктәре вагондарың ағас тәгәрмәстәренең ти туыуына килтергән. English: I was in the train, and I saw a man with a gun. I thought he was going to shoot me.","I was in the train, and I saw a man with a gun. I thought he was going to shoot me."
"Прайд бер-өс оло ата ҡәрҙәштән, шулай үҡ утыҙға тиклем инәнән һәм балаларҙан тора.","Bashkort: Прайд бер-өс оло ата әрәштән, шулай ү утыға тиклем инәнән һәм балаларан тора. English: Pride is a beautiful thing, but it is not a right. It is a privilege. It is a right to be proud of who you are.","It is a right to be proud of who you are. It is a privilege. Pride is a beautiful thing, but it is not a right."
"ЯИ фәнни фантастика төҫмөрөнә эйә булһа ла, ЯИ машинаны өйрәтеү, уҡытыу һәм интеллектуаль яраҡлаштырыу менән шөғөлләнгән бик мөһим информатика тармағын хасил итә.","Bashkort: ЯИ фәнни фантастика төмөрөнә эйә булһа ла, ЯИ машинаны өйрәтеү, уытыу һәм интеллектуаль яралаштырыу менән шөғөлләнгән бик мөһим информатика тармағын хасил итә. English: I am a science fiction writer. I write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write science fiction. I like to write",I write science fiction. I like to write science fiction. I like to write I am a science fiction writer.
"Тимәк, был форматтың яҡтарының нисбәте (бөтөн һандарҙың ябай нисбәтен алыу өсөн ун икегә бүлергә) 3:2 тип һанала.","Bashkort: Тимәк, был форматтың ятарының нисбәте (бөтөн һандарың ябай нисбәтен алыу өсөн ун икегә бүлергә) 3:2 тип һанала. English: The format of the tournament was a best of three (both teams play each other twice).",The format of the tournament was a best of three (both teams play each other twice).
