text,translated_text
"ఉత్పరివర్తనం కొత్త జన్యు వైవిధ్యాన్ని జోడిస్తుంది, మరియు ఎంపిక దానిని వ్యక్తమైన వైవిధ్యాల పూల్ నుండి తొలగిస్తుంది.","Telugu: ఉత్పరివర్తనం కొత్త జన్యు వైవిధ్యాన్ని జోడిస్తుంది, మరియు ఎంపిక దానిని వ్యక్తమైన వైవిధ్యాల పూల్ నుండి తొలగిస్తుంది. English: The recombination of genetic diversity removes the choice of individuals from the pool of genetic diversity."
"అనేక ప్రోటాన్లు, న్యూట్రాన్లతో ఒక కేంద్రకాన్ని ఒకే దగ్గర ఉంచడానికి తీసుకునే శక్తి అనే సూత్రంపైన విచ్ఛిత్తి బాంబు పనిచేస్తుంది.","Telugu: అనేక ప్రోటాన్లు, న్యూట్రాన్లతో ఒక కేంద్రకాన్ని ఒకే దగ్గర ఉంచడానికి తీసుకునే శక్తి అనే సూత్రంపైన విచ్ఛిత్తి బాంబు పనిచేస్తుంది. English: The principle of the detonation bomb is based on the principle of the many protons and neutrons in a central atom to be kept in the same place by the power of the detonation."
న్యూక్లియస్ (కేంద్రకం) రెండు కణాలను కలిగి ఉంటుంది - అవి న్యూట్రాన్లు ఇంకా ప్రోటాన్లు.,Telugu: న్యూక్లియస్ (కేంద్రకం) రెండు కణాలను కలిగి ఉంటుంది - అవి న్యూట్రాన్లు ఇంకా ప్రోటాన్లు. English: Newquay (UK)
ఇది  స్థిరంగా  ఫోకల్ పొడవుతో ఉన్న లెన్సులతో  పోల్చితే నాణ్యత కలిగిన చిత్రాలను ఉత్పత్తి చేయడానికి జూమ్ లెన్సులు కి వీలు కల్పించింది.,Telugu: ఇది స్థిరంగా ఫోకల్ పొడవుతో ఉన్న లెన్సులతో పోల్చితే నాణ్యత కలిగిన చిత్రాలను ఉత్పత్తి చేయడానికి జూమ్ లెన్సులు కి వీలు కల్పించింది. English: This enables the camera to produce high quality images with a focus length of up to 2.8 mm.
"అనేక కారణాల వల్ల వెబ్ ప్రాక్సీల యొక్క మెరుగైన విర్మి౦చబడ్డాయి: అవి http మాత్రమే కాదు, మొత్తం ఇంటర్నెట్ ట్రాఫిక్ ను తిరిగి రూటు చేస్తున్నాయి.","Telugu: అనేక కారణాల వల్ల వెబ్ ప్రాక్సీల యొక్క మెరుగైన విర్మి౦చబడ్డాయి: అవి http మాత్రమే కాదు, మొత్తం ఇంటర్నెట్ ట్రాఫిక్ ను తిరిగి రూటు చేస్తున్నాయి. English: The better the web is protected, the more it is vulnerable to attacks."
ఇంటరాక్టివ్ డిజైన్ లో మీడియా ప్రొడక్షన్ గురించి మీ ఊహలను తిరిగి మూల్యాకనం చేసి అసాధారణ మార్గాల్లో ఆలోచించడం నేర్చుకోవాల్సి ఉంటుంది.,Telugu: ఇంటరాక్టివ్ డిజైన్ లో మీడియా ప్రొడక్షన్ గురించి మీ ఊహలను తిరిగి మూల్యాకనం చేసి అసాధారణ మార్గాల్లో ఆలోచించడం నేర్చుకోవాల్సి ఉంటుంది. English: Media production is a very important aspect of the design process. You have to think about the future of the media production industry in a very unique way.
"ఇది సాధారణ ఆచారంగా మారింది, కానీ ఇనుము బండ్ల యొక్క చెక్క చక్రాలపై మరింత అరుగుదల కలిగించింది.","Telugu: ఇది సాధారణ ఆచారంగా మారింది, కానీ ఇనుము బండ్ల యొక్క చెక్క చక్రాలపై మరింత అరుగుదల కలిగించింది. English: This is a common custom, but the iron rods on the wooden wheels have increased the ascent."
ముప్పై ఆడ సింహాలు మరియు పిల్ల కూనలతో కలిసి 1 నుండి 3 మగ సింహాలు జతకూడి సమూహాలుగా తయారవుతాయి.,Telugu: ముప్పై ఆడ సింహాలు మరియు పిల్ల కూనలతో కలిసి 1 నుండి 3 మగ సింహాలు జతకూడి సమూహాలుగా తయారవుతాయి. English: Twenty male lions and their cubs form a pack of lions.
"AI సైన్స్ ఫిక్షన్ యొక్క బలమైన కాన్నోటేషన్ ను కలిగి ఉన్నప్పటికీ, AI కంప్యూటర్ సైన్స్ యొక్క చాలా ముఖ్యమైన శాఖను ఏర్పరుస్తుంది, ఒక యంత్రంలో ప్రవర్తన, అభ్యసన ఇంకా తెలివైన అనుసరణను కలిగి ఉంటుంది.","Telugu: AI సైన్స్ ఫిక్షన్ యొక్క బలమైన కాన్నోటేషన్ ను కలిగి ఉన్నప్పటికీ, AI కంప్యూటర్ సైన్స్ యొక్క చాలా ముఖ్యమైన శాఖను ఏర్పరుస్తుంది, ఒక యంత్రంలో ప్రవర్తన, అభ్యసన ఇంకా తెలివైన అనుసరణను కలిగి ఉంటుంది. English: AI is the science of computer science that deals with the design, development, and use of intelligent machines."
ఈ ఫార్మాట్ యొక్క కారక నిష్పత్తి (సరళమైన పూర్ణాంక నిష్పత్తిని పొందడానికి పన్నెండుతో భాగించడం) కాబట్టి 3: 2 గా చెప్పబడింది.,Telugu: ఈ ఫార్మాట్ యొక్క కారక నిష్పత్తి (సరళమైన పూర్ణాంక నిష్పత్తిని పొందడానికి పన్నెండుతో భాగించడం) కాబట్టి 3: 2 గా చెప్పబడింది. English: The ratio of the cause to the effect is called the simple ratio.
"ఒక శాటిలైట్ ఫోన్ సాధారణంగా మొబైల్ ఫోన్ కు రీప్లేస్ మెంట్ కాదు, ఎందుకంటే మీరు ఫోన్ కాల్ చేయడానికి శాటిలైట్ కు స్పష్టమైన లైన్ ఆఫ్ సైట్ తో అవుట్ డోర్ గా ఉండాలి.","Telugu: ఒక శాటిలైట్ ఫోన్ సాధారణంగా మొబైల్ ఫోన్ కు రీప్లేస్ మెంట్ కాదు, ఎందుకంటే మీరు ఫోన్ కాల్ చేయడానికి శాటిలైట్ కు స్పష్టమైన లైన్ ఆఫ్ సైట్ తో అవుట్ డోర్ గా ఉండాలి. English: A satellite phone is not a replacement for a mobile phone, because you need to have a clear line of sight to the satellite to make a call."
"బండ్లు కేవలం చెక్క పలకలతో నే ఉన్నప్పటికీ, అవి గుర్రాలను ఎక్కువ వేగాలను సాధించడానికి మరియు రోజు యొక్క కొద్దిగా మరింత కఠినమైన రోడ్లపై కంటే పెద్ద లోడ్లను లాగడానికి అనుమతించాయి.","Telugu: బండ్లు కేవలం చెక్క పలకలతో నే ఉన్నప్పటికీ, అవి గుర్రాలను ఎక్కువ వేగాలను సాధించడానికి మరియు రోజు యొక్క కొద్దిగా మరింత కఠినమైన రోడ్లపై కంటే పెద్ద లోడ్లను లాగడానికి అనుమతించాయి. English: The bamboo poles were made of wood, but they allowed the horses to perform better and more difficult roads than the little more difficult roads on a daily basis."
"పురాతన కాలం నుండి బంగారం, వెండి మరియు రాగి వంటి ప్రాథమిక రసాయన మూలకాల గురించి ప్రజలకు తెలుసు, ఎందుకంటే వీటిని ప్రకృతిలో సహజ  రూపంలో కనుగొనవచ్చు మరియు ఆదిమ సాధనాలతో తవ్వటం చాలా సులభంగా ఉంటుంది.","Telugu: పురాతన కాలం నుండి బంగారం, వెండి మరియు రాగి వంటి ప్రాథమిక రసాయన మూలకాల గురించి ప్రజలకు తెలుసు, ఎందుకంటే వీటిని ప్రకృతిలో సహజ రూపంలో కనుగొనవచ్చు మరియు ఆదిమ సాధనాలతో తవ్వటం చాలా సులభంగా ఉంటుంది. English: The ancient people knew about the basic chemical elements such as gold, silver and copper, because they can be found naturally in nature and can be extracted easily with primitive tools."
వీల్ ప్రపంచాన్ని అద్భుతమైన రీతిలో మార్చింది. వీల్ మాకు చేసిన అతిపెద్ద విషయం మాకు చాలా సులభమైన మరియు వేగవంతమైన రవాణా.,Telugu: వీల్ ప్రపంచాన్ని అద్భుతమైన రీతిలో మార్చింది. వీల్ మాకు చేసిన అతిపెద్ద విషయం మాకు చాలా సులభమైన మరియు వేగవంతమైన రవాణా. English: The wheel has changed the world in a wonderful way. The wheel has made the world very easy and fast.
ఇమేజ్ మొత్తం స్క్రీన్ ని కవర్ చేసేలా ఇది రూపొందించబడింది. దాన్ని ఓవర్ కాన్ అంటారు.,Telugu: ఇమేజ్ మొత్తం స్క్రీన్ ని కవర్ చేసేలా ఇది రూపొందించబడింది. దాన్ని ఓవర్ కాన్ అంటారు. English: The image is completely covered by this. It is called over-the-top.
జర్మన్ జలాంతర్గాములను యు-బోట్స్ అని పిలిచేవారు. జర్మన్లు ​​తమ జలాంతర్గాములను నావిగేట్ చేయడంలో మరియు ఆపరేట్ చేయడంలో చాలా మంచివారు.,Telugu: జర్మన్ జలాంతర్గాములను యు-బోట్స్ అని పిలిచేవారు. జర్మన్లు తమ జలాంతర్గాములను నావిగేట్ చేయడంలో మరియు ఆపరేట్ చేయడంలో చాలా మంచివారు. English: German submarines were called U-boats. Germans were very good at navigating and operating their submarines.
"భౌతిక స్థితి మారినప్పటికీ, దాని రసాయన స్థితి యథాతథంగా ఉంటుంది.","Telugu: భౌతిక స్థితి మారినప్పటికీ, దాని రసాయన స్థితి యథాతథంగా ఉంటుంది. English: Physical state changes, but its chemical state remains the same."
నీటి ఉపరితలం వద్ద ఉన్న నీటి అణువులు వాటి పైన ఉన్న గాలి అణువుల కంటే ఒకదానికొకటి బలంగా ఆకర్షిస్తున్నందు వల్ల ఉపరితల బిగువు జరుగుతుంది.,Telugu: నీటి ఉపరితలం వద్ద ఉన్న నీటి అణువులు వాటి పైన ఉన్న గాలి అణువుల కంటే ఒకదానికొకటి బలంగా ఆకర్షిస్తున్నందు వల్ల ఉపరితల బిగువు జరుగుతుంది. English: The water molecules attract each other at the surface of the water due to the strong attraction between the water molecules.
సర్వసాధారణమైన సమస్యలలో 1 చలన చిత్రాన్ని డి‌వి‌డి ఆకృతికి మార్చడానికి ప్రయత్నిస్తున్నప్పుడు ఓవర్‌స్కాన్.,Telugu: సర్వసాధారణమైన సమస్యలలో 1 చలన చిత్రాన్ని డి వి డి ఆకృతికి మార్చడానికి ప్రయత్నిస్తున్నప్పుడు ఓవర్ స్కాన్. English: A common problem in converting a video to a different format is to overscan.
"ముఖ్యంగా, ఒక వ్యక్తి అబద్ధం చెప్తున్నాడా లేదా అనేది అతని వ్యక్తీకరణలను సూక్ష్మంగా గమనించడం ద్వారా కనుగొనవచ్చు.","Telugu: ముఖ్యంగా, ఒక వ్యక్తి అబద్ధం చెప్తున్నాడా లేదా అనేది అతని వ్యక్తీకరణలను సూక్ష్మంగా గమనించడం ద్వారా కనుగొనవచ్చు. English: The most important thing is to observe the way a person is speaking."
