index_id,category,text
993,entertainment,"Nangauli vili ntheura, mapiri ghakuwoneka ghakutowa mwapadera mu nyengo ya kuzizira, apo mapiri ghanandi ghakudikiskika na ciwuvi ndipo ŵanji ŵakucitamo zgaro nga nkhujitherereska pa maji ghakukhoma panji pa ciwuvi."
755,entertainment,"Mahotelo agha ndigho vikhwaya na ŵanthu ŵakumanyikwa ŵakakhalangako, ndipo ghakaŵanga na mwambo wa vyakurya vya mise wapacanya kweniso vyakucita vya usiku vyapacanyaso."
1239,entertainment,"Kuyana na mazgu ghakulembeka agho wakayowoya panyengo ya nkhani, iyo wakati ""Msungwana uyu ngwakutowa chomene ndipo nayo wakwimba makora."
871,entertainment,Munyumba yinu mukwenera kuŵa khofi wakukwana wakumwa namulenji kweniso tiyi wa chamomile wakumwa nausiku kuti thupi limasukenge.
460,entertainment,Mawayilesi gha kanema ghanandi ŵakughapanga kuti ghakondweskenge wanthu.
431,geography,"Turkey walikuzingiririka na nyanja ku mphepete zitatu: nyanja ya Aegean ku mafumiro gha dazi, nyanja ya Yifipa ku mpoto na yanja ya Mediterranean ku mwera."
1692,geography,Malo ghakulu comene ku mpoto kukukhala ŵanthu wacoko comene mwakuti pali malo ghanyakhe ghakuti kulijilethu ŵanthu.
743,geography,Vilwa vya Cook vilije msumba uliwose kweni vili na vilwa vyakupambanapambana vyakukwana 15. Vilwa vikulu comene ni Rarotonga na Aitutaki.
1720,geography,"Malo agha ngakulu kukwanira ma sikweya kilomita 19,500 ndipo ghali mu vigaŵa 14 ivyo, ndipo cigaŵa cilicose cili na cilengiwa cakupambana."
1622,geography,Dambo la Amazon ndaciŵiri mu utali caru cose ca pasi. Dambo ili likuyegha maji ghanandi kankhondi na katatu (8) kujumpha dambo laciŵiri mu ukulu caru cose capasi.
1205,health,"Nkhwantha pa nthenda ya mulili yakufumira ku wupu wa UN, Danielle Lantage, yikayowoya kuti wasilikali ndiwo wakambiska mulili uwu."
1203,health,"Pambere ŵasilikali ŵa nkhondo ŵakaŵa ŵandizeko, ku Haiti kukaŵevye masuzgo ghanandi ghakukhwaska ntenda iyi kufumira vyaka vya ma 1800."
566,health,Kulaŵiska kukugomezga kuti munthu uŵe na viŵalo vyakuvwira pa kulawiska panji maso.
1256,health,"Tunthu uto tukaŵa mu tumabora utu tukuyana na uto tukasangika mu matuzi gha viŵeto ivyo vikafwa ŵati ŵayaniska ivyo vikaŵa mu matuzi, pa chingerezi infrared spectroscopy (FTIR)."
1578,health,Bekani makola pa kapepala ako kali pa botolo kuti mumanye chakuchita pa poizoni uyo mwasanga.
1936,politics,"Mu caka ca 1994, mphindano izi zikacitiska kuti cigaŵa ca Transnistria ku manjiliro gha zuŵa gha Moldova ciyime pa cekha nga ni caru ndipo cili na boma kweniso ndalama yake na yake kweni cikuzomerezgeka cara na wupu wa vyary vyose wa UN."
280,politics,"Awo ŵakanozga viwoneskero ivi ŵakati ŵanthu pafupifupi 100,000 ŵakiza mu misumba ya German nga Berlin, Cologne, Hamburg, na Hanover."
247,politics,Ŵimiliri aŵa ŵali na udindo wa kupeleka ndalama zakovwira boma na makhoti mwakuyana na Chigaŵa 247 cha Malango gha Charu cha Pakistani.
1439,politics,"Maurwani yati yamba waka, Britain ikajara nthowa ya pa nyaja pakugwiriska ntchito ŵasilikali ŵa pa maji na chakurata chakuti ŵatondeske German kupokerera katundu waliyose chomene chomene katundu wa nkhondo."
18,politics,"Pakaŵa viwoneskero pa charu chose, ŵanthu ŵanandiko ŵakupalamura milandu ŵakeruzgika, ndipo ŵalongozgi ŵa boma la Iceland na Pakistan ŵakathura pasi maudindo ghawo."
403,science/technology,"Kuwambiro wa nkhondo zikwendanga pachanga pa nyanja, kweni apo chipangizo chakuwanikira vinthu vyapatali chikamba kupangika kweniso apo chikatyondanga pakuwanika, ngaraŵa za pa maji zikachichizgika kuti zendenge pasi pa maji nakuti zingawonekanga chara."
1592,science/technology,"Apo umanyi wa vinthu vya ku caru ca Greece ukakhira, ŵanthu ŵa muvyaru vya ŵazungu ŵakaleka kugomezga caru ici pa vyakukhwaska masambiro gha kughanaghana comene na sayansi."
1344,science/technology,Nkhongono za mu Hydrogen ni ma proton agho nkhongono zake zakuchemeka electron zili kufumiskikako (pakuti mu vinthu ivyo vikupanga Hydrogen mukuŵa proton yimoza na electron yimoza).
556,science/technology,Kaatomu kangatoleka kuŵa kanthu kakuzirwa comene ako kukuzenga cinthu cilicose.
1645,science/technology,Kuŵa ngati nkhukhunguzgira cikocikali cizito ku cikwera. Kugaŵikanaso kwa nyukilayasi kukufumiska yinji mwa nkhongono iyo.
555,sports,Awo ŵakutolapo lwande pa zgaro ŵangawona kuti ŵakutemwa cinthu cinyake apo cinthu ico cilije na canduro leleco pa vyakucita vyawo.
195,sports,Massa wachitengeko dankha yayi maseŵera agha chaka chose cha 2009.
553,sports,"Zgaro za kutchimbira pa mtunda wapakatikati ghakukhumba ndalama zinandi cara kunozgekera; kweni, pali vinthu vinandi ivyo ŵanthu ŵanandi ŵakuvipulikiska makola cara vyakukhwaska ucoko wa vinthu ivyo vikukhumbika kuti munthu uŵe navyo kuti utolepo lwande."
