text,actual_category,predicted_category,confidence
"Parpindahah manambahi ragam genetik hanyar, wan pilihan mahapusnya matan ragam kalumpuk talihat.",science/technology,science/technology,0.6995840072631836
Bom fisi bagawi badasarakan prinsip bahuwa diparluakan energi gasan manggabungakan inti lawan banyak proton wan neutron.,science/technology,science/technology,0.7509809732437134
Nukleus ngitu isinya dua partikel - neutron wan proton.,science/technology,entertainment,0.6714916229248047
Ngini sudah mambulihakan linsa parganal gasan mahasilakan gambar-gambar nang bakualitas nang sabanding kaya kualitas linsa-linsa nang mamakai fukus panjang tatap.,science/technology,entertainment,0.3818107545375824
"Gasan babarapa alasan, inya unggul di bagian proksi web: buhannya maubah jalur barataan lalu lintas Intirnit, kada baya http haja.",science/technology,entertainment,0.4541463553905487
Rancangan intaraktif mamarluakan ikam manilai ba’asa pamikiran ikam masalah midia pruduksi wan balajar mamikirakan dalam cara nang kada biasanya.,science/technology,entertainment,0.5824141502380371
"Ngini jadi pacobaan nang umum, tapi wasi maulah roda kayu gerbongnya labih aus.",science/technology,entertainment,0.29343703389167786
"Kawanan tabantuk matan sabuting sampai talu targantung jantan ganal, lawan sampai talu puluh batina wan anak-anaknya.",science/technology,entertainment,0.673836350440979
"Biarpun AI baisi konotasi ilmiah nang kuat, AI maulah cabang ilmu komputer nang liwar penting, manangani perilaku, pambalajaran, wan adaptasi cardas dalam masin.",science/technology,science/technology,0.6346868872642517
Aspik rasiu bantuk ngini (tarbagi dua balas gasan nyaman mandapati rasiu angka kasuluruhan) makanya disambat manjadi 3:2.,science/technology,entertainment,0.5022376179695129
"Talipun satelit lain gasan pangganti talipun silulir, Pian musti baraada di luar ruangan wan di wadah nang jalas tajangkau satelit gasan manalipun.",science/technology,entertainment,0.36234527826309204
"Biar gerbong cuma matan papan kayu basambung, mambariakan buhan kuda manariknya gasan mancapai kalajuan tartinggi lawan manarik bawaan nang taganal pada di jalanan nang kasar saban hari.",science/technology,entertainment,0.7140112519264221
"Urang sudah mangatahui tentang unsur-unsur kimia dasar kaya amas, perak, wan tambaga matan jaman bahari, sabab sabarataan ngini ditamuakan di alam dalam bantuk asli wan relatip sadarhana gasan ditambang lawan alat-alat primitip.",science/technology,entertainment,0.42989858984947205
Roda sudah maubah dunia sacara mankjubakan. Hal paling penting nang sudah digawi roda gasan kita yato mambari kita banyak kamudahan wan angkutan nang labih laju.,science/technology,entertainment,0.6729329824447632
Ngini diulah gasan mamastiakan lamun gambar manutupi salayaran. Ngintu sambatannya overscan.,science/technology,entertainment,0.5641021728515625
Kapal salam Jerman disambat Kapal-U. Bubuhan Jerman harat banar dalam mangamudiakan wan mangandaliakan kapal salam buhannya.,science/technology,entertainment,0.2629944384098053
"Biar kaadaan pisiknya mungkin baubah, kaadaan kimianya tatap sama.",science/technology,entertainment,0.640387237071991
Takanan parmukaan tarjadi sabab molekul banyu di parmukaan banyu kuat manjuhut ka sisi nang lain labih daripada ngitu ka molekul udara di atas ngitu.,science/technology,entertainment,0.39595577120780945
