index_id,category,text
993,entertainment,"Pero, mayda nira iba nga klase hin kaopay ngan kaanyag durante han panahon han kathagkot, nga may-ada damu nga mga istasyon han bungtod nga nakakakarawat hin hura an kadamu hin mga nyebe ngan nagtatanyag hin mga aktibidad sugad han pag-ski ngan snowboarding."
755,entertainment,"Ini nga mga hotel amo an gin-uukyan han mga riko ngan sikat hadto, ngan kasagaran nga nagkaada fine dining ngan nightlife."
431,geography,"Gililibutan an Turkey hin mga dagat ha tulo nga ligid: an Aegean Sea ha katundan, an Black Sea ha norte ngan Mediterranean Sea ha sur."
1692,geography,An mga dagku nga lugar ha norte amo an diri gud damu an populasyon ngan an pipira haros waray naukoy nga kagurangan.
1205,health,"Hi Danielle Lantagne, usa ka eksperto hito nga sakit ha UN, nagsiring nga an pagsarang posible nga tungod han mga peacekeepers."
1203,health,"Antes pa umabot an mga sundalo, waray pa nakaatubang an Haiti hin mga problema kasumpay hiton nga sakit tikang pa han 1800s."
1936,politics,"Han 1994, ini nga araway nagin hinungdan ha pagkahimo han kalugaringon la nga iginpasamwak nga Transnistria nga Republika ha este nga bahin han Moldova, nga may ada ira la kalugaringon nga gobyerno ngan salapi pero diri ginkikilala han bisan ano nga nasud nga miyembro han UN."
280,politics,"Nagsiring an mga nag-andam han protesta nga harani 100,000 ka tawo an umabot ha mga siyudad han Germany sugad han Berlin, Cologne, Hamburg, ngan Hanover."
403,science/technology,"Dida han pagtikang han girra kaurogan hira nga nabiyahe ha bawbaw han dagat, pero han nagtikang pag-uswag an radar ngan nahimo nga mas sakto napiritan an mga submarino nga magpailarom ha tubig basi diri makit-an."
1592,science/technology,"Samtang naghinay an kahibaro ha Griyego, nakita han Weste an kalugaringon nga nawara tikang ha pilosopikal ngan sayantipiko nga gintikangan hini."
555,sports,Mahimo abaton han mga atleta nga mas karuyag nira an usa nga produkto bisan kon diri ini naghahatag hin tinuod nga benepisyo.
195,sports,Mahigagawas hi Massa ha nahibibilin nga 2009 season.
688,travel,Mas maopay nga maggahin hin oras ha iba pa nga lugar an mga bisita nga may-ada la limitado nga oras.
1764,travel,"Ha kadugangan pa, magkaada hin kahibaro nga an mga baho nakakadani ha mga oso ngan iba pa nga wildlife, salit ipahirayo an pagdara o pagluto hin mga may baho nga pagkaon ngan tipigi an usa nga malimpyo nga kampo."
