text,actual_category,predicted_category,generated_text
"Ku hundzuka ka swiaki swa xitekela ku engetela ku hambana ka xitekela, naswona ku hlawula ku swi susa eka mpfangano wa ku hamabana lowu nga tirhisiwa.",science/technology,sports,"SENTENCE:
 Ku hundzuka ka swiaki swa xitekela ku engetela ku hambana ka xitekela, naswona ku hlawula ku swi susa eka mpfangano wa ku hamabana lowu nga tirhisiwa. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
Bomo ya fission yi tirha eka nsinya wa nawu lowu nge ku laveka matimba leswaku nyutliliya yi khomana ni ti phurothoni to tala ni ti nyutironi.,science/technology,science/technology,"SENTENCE:
 Bomo ya fission yi tirha eka nsinya wa nawu lowu nge ku laveka matimba leswaku nyutliliya yi khomana ni ti phurothoni to tala ni ti nyutironi. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science</s>"
Nyutliliya I na swilo swimbirhi - tinyuturoni na tiporotoni.,science/technology,travel,"SENTENCE:
 Nyutliliya I na swilo swimbirhi - tinyuturoni na tiporotoni. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: travel</s>"
Leswi swi pfumele tilense ta ku tshineta swilo ku humesa swifaniso swa xiyimo xa le henhla loko swi ringanisiwa na tilensi ta ku leha ka langutelo loku nga simekiwa.,science/technology,sports,"SENTENCE:
 Leswi swi pfumele tilense ta ku tshineta swilo ku humesa swifaniso swa xiyimo xa le henhla loko swi ringanisiwa na tilensi ta ku leha ka langutelo loku nga simekiwa. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
"I tikulu eka ti purokizi ta web hi swivangelo swo hlaya: Ti fambisa hinkwako ku kwentlembana ka intanethe, ku nga ri http ntsena.",science/technology,travel,"SENTENCE:
 I tikulu eka ti purokizi ta web hi swivangelo swo hlaya: Ti fambisa hinkwako ku kwentlembana ka intanethe, ku nga ri http ntsena. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: travel</s>"
Ku vumba loku nga ni nkucetelo ku lava leswaku u kambisisa nakambe mavonelo ya wena hi ku endla vuhaxi ni ku dyondza ku ehleketa hi tindlela leti nga riki to kongoma.,science/technology,sports,"SENTENCE:
 Ku vumba loku nga ni nkucetelo ku lava leswaku u kambisisa nakambe mavonelo ya wena hi ku endla vuhaxi ni ku dyondza ku ehleketa hi tindlela leti nga riki to kongoma. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
"Leswi swi sungule ku tirhisiwa, kambe nsimbi yi onhe mavhilwa ya tihunyi ya tigolonyi hi ku olova.",science/technology,travel,"SENTENCE:
 Leswi swi sungule ku tirhisiwa, kambe nsimbi yi onhe mavhilwa ya tihunyi ya tigolonyi hi ku olova. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: travel</s>"
"Mintlhambi yi vumbiwa hi nghala yin’we ya xinuna ku ya eka tinharhu letikulu, swin’we ni ta vavasati leti fikaka eka makume manharhu swin’we ni letitsongo.",science/technology,travel,"SENTENCE:
 Mintlhambi yi vumbiwa hi nghala yin’we ya xinuna ku ya eka tinharhu letikulu, swin’we ni ta vavasati leti fikaka eka makume manharhu swin’we ni letitsongo. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: travel</s>"
"Hambileswi AI yinga ku hlangana lokukulu na sayense ya switori swo anakanyiwa, AI yi vumba xiyenge xa nkoka swinene xa sayense ya tikhompyutha,leyi tirhaka hi mikhuva, ku dyondza ni vutlhari byo yi tirhisa eka michini.",science/technology,science/technology,"SENTENCE:
 Hambileswi AI yinga ku hlangana lokukulu na sayense ya switori swo anakanyiwa, AI yi vumba xiyenge xa nkoka swinene xa sayense ya tikhompyutha,leyi tirhaka hi mikhuva, ku dyondza ni vutlhari byo yi tirhisa eka michini. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science</s>"
Xiringaniso xa xiyenge xa muxaka lowu (ku avanyisa hi khume mbirhi ku kuma nhlayo yo olova ya xiringaniso) ku vuriwa leswaku i 3:2.,science/technology,sports,"SENTENCE:
 Xiringaniso xa xiyenge xa muxaka lowu (ku avanyisa hi khume mbirhi ku kuma nhlayo yo olova ya xiringaniso) ku vuriwa leswaku i 3:2. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
"Foyini ya sethalayiti a yi tirhiseriwa ku teka ndhawu ya riqhingho, tanihi leswi u fanelkee u va ehandle naswona eka ndhawu leyi sethalayiti yi vonaka kahle leswaku u kota ku foyina.",science/technology,sports,"SENTENCE:
 Foyini ya sethalayiti a yi tirhiseriwa ku teka ndhawu ya riqhingho, tanihi leswi u fanelkee u va ehandle naswona eka ndhawu leyi sethalayiti yi vonaka kahle leswaku u kota ku foyina. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
"Hambileswi ndhawu yo famba tigolonyi a yi endliwe hi mapulanga nyana ya tihunyi lama forisiweke, a ya pfumelela ti hanci leti a ti ma koka leswaku ti tsutsuma swinene ni ku rwala ndwalo lowukulu eka lowu a ti ta wu rwala emapatwini ya nkarhi wolowo lama a ma nga fambeki.",science/technology,sports,"SENTENCE:
 Hambileswi ndhawu yo famba tigolonyi a yi endliwe hi mapulanga nyana ya tihunyi lama forisiweke, a ya pfumelela ti hanci leti a ti ma koka leswaku ti tsutsuma swinene ni ku rwala ndwalo lowukulu eka lowu a ti ta wu rwala emapatwini ya nkarhi wolowo lama a ma nga fambeki. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
"Vanhu a va tiva hi ti khemikhali ta xisekelo to fana na nsuku, silivhere, na koporo ku sukela eka minkarhi ya khale swinene, hikuva hinkwato ta kumeka eka ntumbuluko ti helerile naswona hakanyingi swa olova ku ti cela u tirhisa switirhisiwa swa xikhale.",science/technology,sports,"SENTENCE:
 Vanhu a va tiva hi ti khemikhali ta xisekelo to fana na nsuku, silivhere, na koporo ku sukela eka minkarhi ya khale swinene, hikuva hinkwato ta kumeka eka ntumbuluko ti helerile naswona hakanyingi swa olova ku ti cela u tirhisa switirhisiwa swa xikhale. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
Vhilwa ri cince misava hi tindlela letikulu ngopfu. Xilo lexikulu lexi ri hi endleleke xona i ku hi nyika swilo swa ku famba hi ku olova na hi ku hatlisa.,science/technology,travel,"SENTENCE:
 Vhilwa ri cince misava hi tindlela letikulu ngopfu. Xilo lexikulu lexi ri hi endleleke xona i ku hi nyika swilo swa ku famba hi ku olova na hi ku hatlisa. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: travel</s>"
Leswi swi endleriwa ku tiyisisa leswaku xifaniso xi tata xikirini hinkwaxo. Sweswo swi vuriwa ku anamisa leswi voniwaka eka xikirini.,science/technology,travel,"SENTENCE:
 Leswi swi endleriwa ku tiyisisa leswaku xifaniso xi tata xikirini hinkwaxo. Sweswo swi vuriwa ku anamisa leswi voniwaka eka xikirini. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: travel</s>"
Swikepe swa le hansi ka mati swa Majarimani a swi vitaniwa U-Boats. Majarimani a va swi kota kahle ku tluta ni ku fambisa swikepe swa vona swa le hansi ka mati.,science/technology,travel,"SENTENCE:
 Swikepe swa le hansi ka mati swa Majarimani a swi vitaniwa U-Boats. Majarimani a va swi kota kahle ku tluta ni ku fambisa swikepe swa vona swa le hansi ka mati. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: travel</s>"
"Hambileswi xivumbeko xa yona xale handle xo cinca, xivumbeko xa yona xale ndzeni a xi cinci.",science/technology,sports,"SENTENCE:
 Hambileswi xivumbeko xa yona xale handle xo cinca, xivumbeko xa yona xale ndzeni a xi cinci. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: sports</s>"
