text,actual_category,predicted_category,confidence
Η μετάλλαξη προσθέτει νέες γενετικές παραλλαγές και η επιλογή τις αφαιρεί από τη δεξαμενή εκφρασμένων παραλλαγών.,science/technology,science/technology,0.6078523397445679
Η βόμβα σχάσης βασίζεται στην αρχή ότι απαιτείται ενέργεια για να σχηματιστεί ένας πυρήνας με πολλά πρωτόνια και νετρόνια.,science/technology,science/technology,0.40478625893592834
Τα δύο μόρια που αποτελούν τον πυρήνα είναι τα νετρόνια και τα πρωτόνια.,science/technology,entertainment,0.7394018769264221
Αυτό επέτρεψε στους φακούς μεταβλητής εστίασης να παράγουν εικόνες των οποίων η ποιότητα είναι συγκρίσιμη με εκείνη που επιτυγχάνεται με φακούς σταθερής εστιακής απόστασης.,science/technology,travel,0.234901562333107
"Υπερτερούν των διαμεσολαβητών Ιστού για διάφορους λόγους: Επαναδρομολογούν όλη την κίνηση στο διαδίκτυο, όχι μόνο το http.",science/technology,science/technology,0.40610700845718384
Ο σχεδιασμός αλληλεπίδρασης απαιτεί την εκ νέου αξιολόγηση των υποθέσεων σας σχετικά με την παραγωγή μέσων καθώς και το να μάθετε να σκέφτεστε με μη γραμμικό τρόπο.,science/technology,entertainment,0.3707900047302246
"Κάτι τέτοιο ήταν συνηθισμένη μέθοδος, όμως ο σίδηρος δημιούργησε πιο μεγάλη καταστοφή στις ρόδες των βαγονιών από ξύλο.",science/technology,entertainment,0.2874315083026886
Οι αγέλες αποτελούνται από ένα ως τρία ενήλικα αρσενικά που συγγενεύουν μεταξύ τους μαζί με έως και τριάντα θηλυκά με τα μικρά τους.,science/technology,entertainment,0.7717711925506592
"Παρόλο που η τεχνητή νοημοσύνη παραπέμπει σε μεγάλο βαθμό στην επιστημονική φαντασία, αποτελεί, ωστόσο, έναν σημαντικό κλάδο της πληροφορικής ο οποίος ασχολείται με την προσαρμογή της συμπεριφοράς, της εκμάθησης και της ευφυίας σε ένα μηχάνημα.",science/technology,entertainment,0.2772170603275299
Ο λόγος διαστάσεων αυτής της διάταξης (διαιρούμενος με το δώδεκα για να πετύχουμε την απλούστερη αναλογία ακέραιων αριθμών) είναι ως εκ τούτου 3:2.,science/technology,entertainment,0.2807399034500122
"Το δορυφορικό τηλέφωνο δεν αντικαθιστά το κινητό τηλέφωνο γενικά, διότι θα πρέπει να είστε σε εξωτερικό χώρο με καθαρό οπτικό πεδίο προς τον δορυφόρο για να πραγματοποιήσετε μια κλήση.",science/technology,entertainment,0.405609667301178
"Παρόλο που οι ξυλοτροχιές αποτελούνταν μόνο από παράλληλες ξύλινες σανίδες, αυτές επέτρεπαν στα άλογα που έσερναν τα βαγόνια να επιτυγχάνουν μεγαλύτερες ταχύτητες και να τραβούν μεγαλύτερα φορτία από ό,τι στους ελάχιστα πιο τραχείς δρόμους της ημέρας.",science/technology,entertainment,0.6908247470855713
"Ο άνθρωπος γνώριζε την ύπαρξη των βασικών χημικών στοιχείων όπως ο χρυσός, ο άργυρος και ο χαλκός από την αρχαιότητα, καθώς όλα αυτά μπορεί κανείς να τα βρει στη φύση σε ακατέργαστη μορφή και η εξόρυξή τους με πρωτόγονα εργαλεία είναι σχετικά εύκολη.",science/technology,entertainment,0.5096684694290161
Η συμβολή του τροχού στον κόσμο είναι εκπληκτική. Το σπουδαιότερο απ' όλα είναι η πιο απλή και γρήγορη μετακίνηση.,science/technology,entertainment,0.8178558349609375
"Έτσι διασφαλίζεται ότι η οθόνη καλύπτεται ολόκληρη από την εικόνα, γνωστό και ως υπερσάρωση.",science/technology,travel,0.619488000869751
Τα γερμανικά υποβρύχια λέγονταν U-Boats. Οι Γερμανοί γνώριζαν καλά πώς να πλοηγούν και να λειτουργούν τα υποβρύχιά τους.,science/technology,travel,0.4157170057296753
"Παρόλο που η φυσική του κατάσταση ενδέχεται να μεταβάλλεται, η χημική του κατάσταση παραμένει ίδια.",science/technology,politics,0.32421398162841797
"Η επιφανειακή τάση εκδηλώνεται καθώς τα μόρια του νερού στην επιφάνειά του έλκονται έντονα μεταξύ τους, περισσότερο από όσο έλκονται από τα μόρια του αέρα που βρίσκονται από πάνω τους.",science/technology,health,0.2443581521511078
Ένα από τα συχνότερα προβλήματα κατά τη μετατροπή μια ταινίας σε μορφή DVD είναι η υπερσάρωση.,science/technology,entertainment,0.6796929240226746
"Συγκεκριμένα, λέγεται ότι μπορεί κανείς να αντιληφθεί αν κάποιο άτομο λέει ψέματα, ερμηνεύοντας ορθά τις μικροεκφράσεις.",science/technology,entertainment,0.7576431035995483
Ο χρυσός μπορεί να σμιλευτεί σε όλα τα σχήματα. Γίνεται να διαμορφωθεί σε σχήματα ελάχιστου μεγέθους.,science/technology,health,0.3311290144920349
"Το σύστημα AI λειτουργεί στις μέρες μας συχνά στους κλάδους των οικονομικών, της περίθαλψης, της μηχανικής και των ενόπλων δυνάμεων, ενώ μάλιστα είναι ενυπάρχει σε διάφορες εφαρμογές λογισμικού υπολογιστών οικιακής χρήσης και παιχνιδιών κυβερνοχώρου.",science/technology,entertainment,0.4846271574497223
"Παράγεται έως σήμερα, αλλά το σημαντικότερο είναι η αναλογία των διαστάσεων που έχει κληρονομηθεί από τις μορφές αισθητήρων εικόνας της ψηφιακής φωτογραφικής μηχανής.",science/technology,entertainment,0.8286243081092834
"Ο νόμος των τριών, ο οποίος συχνά γίνεται αντικείμενο κατάχρησης και χλευασμού, είναι μια απλή κατευθυντήρια γραμμή που δημιουργεί δυναμισμό ενώ ταυτόχρονα διατηρεί την τάξη έως ένα μέτρο σε μια εικόνα.",science/technology,entertainment,0.4725077748298645
"Αυτό όχι απλώς επιβεβαιώνει ότι ορισμένοι τουλάχιστον από τους δεινοσαύρους είχαν πούπουλα, μια ήδη διαδεδομένη θεωρία, αλλά παρέχει και λεπτομέρειες που τα απολιθώματα γενικά δεν μπορούν να παρέχουν, όπως το χρώμα και την τρισδιάστατη διάταξή τους.",science/technology,entertainment,0.3565846383571625
"Πώς θα λειτουργούσε η βαρύτητα της Ιούς πάνω μου; Αν στεκόσασταν στην επιφάνεια της Ιους, θα ζυγίζατε λιγότερο από ό,τι στη Γη.",science/technology,entertainment,0.4097921848297119
"Η Ομοσπονδιακή Υπηρεσία Πολιτικής Αεροπορίας ισχυρίζεται ότι το σύστημα αεροπορικών μεταφορών νέας γενιάς θα επέτρεπε στα αεροσκάφη να διεξάγουν πιο σύντομες διαδρομές, να εξοικονομούν γαλόνια καυσίμων κάθε χρόνο και να μειώνουν τις εκπομπές άνθρακα.",science/technology,entertainment,0.6005347371101379
