text,translated_text,clean_output
"Mutation (pian danglamna) hian  genetic variation thar a siam a, chu chu danglamna hmuhchhuah tawh atang chuan paih bo leh a ni.","Mizo: Mutation (pian danglamna) hian genetic variation thar a siam a, chu chu danglamna hmuhchhuah tawh atang chuan paih bo leh a ni. English: The Mandarin (pian danglamna) hian genetic variation thar a siam a, chu chu danglamna hmuhchhuah tawh atang chuan paih bo leh a ni.","The Mandarin (pian danglamna) hian genetic variation thar a siam a, chu chu danglamna hmuhchhuah tawh atang chuan paih bo leh a ni."
"Fission bomb hi a thawh dan chu chakna hmangin a ni a, he chakna hmang hian proton leh neutron tam tak pai nucleus chu a rem khawm a ni.","Mizo: Fission bomb hi a thawh dan chu chakna hmangin a ni a, he chakna hmang hian proton leh neutron tam tak pai nucleus chu a rem khawm a ni. English: The atomic bomb was a nuclear weapon.",The atomic bomb was a nuclear weapon.
"Nucleus chu particle pahnih atanga siam a ni a, neutrons leh protons te an ni.","Mizo: Nucleus chu particle pahnih atanga siam a ni a, neutrons leh protons te an ni. English: The nucleus is a particle of the nucleus.",The nucleus is a particle of the nucleus.
Hemi vang hian zoom lenses chu lens thenkhat hmuh theih tawp chin nei aiin thlalak thazawk nei thei turin thui takin a pui a ni.,Mizo: Hemi vang hian zoom lenses chu lens thenkhat hmuh theih tawp chin nei aiin thlalak thazawk nei thei turin thui takin a pui a ni. English: I'm not a doctor.,I'm not a doctor.
Web proxy aiin chhan tam tak vangin an chungnung zawk a: Internet veivak hi http chauh lo pawh an kal thattir vek a ni.,Mizo: Web proxy aiin chhan tam tak vangin an chungnung zawk a: Internet veivak hi http chauh lo pawh an kal thattir vek a ni. English: Web proxy aiin chhan tam tak vangin an chungnung zawk a: Internet veivak hi http chauh lo pawh an kal thattir vek a ni.,Web proxy aiin chhan tam tak vangin an chungnung zawk a: Internet veivak hi http chauh lo pawh an kal thattir vek a ni.
"Design tha leh mi hipthei nei tur chuan media le a hrinchhuahte chungchanga ngaihruatna ilo neih te kha i ngiahtuah nawn a ngai hle thîn a, ngil taka ilo ngiahruat thînna te kha i paihbo a tul bawk a ni.","Mizo: Design tha leh mi hipthei nei tur chuan media le a hrinchhuahte chungchanga ngaihruatna ilo neih te kha i ngiahtuah nawn a ngai hle thîn a, ngil taka ilo ngiahruat thînna te kha i paihbo a tul bawk a ni. English: The design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the",The design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the design of the
"Hei hi hman uar a ni ta a, mahse chu thir vuah chuan wagon ke, thing atanga siam chu a daihrei loh tir phah hle.","Mizo: Hei hi hman uar a ni ta a, mahse chu thir vuah chuan wagon ke, thing atanga siam chu a daihrei loh tir phah hle. English: I am a man, I am a man.","I am a man, I am a man."
"An chen ho naah chuan a pa puitling pathum vel awmin, a nu sawmthum vel leh a note an awm thung","Mizo: An chen ho naah chuan a pa puitling pathum vel awmin, a nu sawmthum vel leh a note an awm thung English: A chen ho naah chuan a pa puitling pathum vel awmin, a nu sawmthum vel leh a note an awm thung","A chen ho naah chuan a pa puitling pathum vel awmin, a nu sawmthum vel leh a note an awm thung"
"Al hian science fiction ruangam lantir viau mahse, computer science tan AI hi a peng pawimawh em em a ni a, khawl kalhmang te leh a zirna te a zirchiang thei a ni.","Mizo: Al hian science fiction ruangam lantir viau mahse, computer science tan AI hi a peng pawimawh em em a ni a, khawl kalhmang te leh a zirna te a zirchiang thei a ni. English: The world of science fiction is a world of imagination, a world of imagination that is not only a world of imagination, but a world of imagination that is not only a world of imagination, but a world of imagination that is not only a world of imagination, but a world of imagination, that is not only a world of imagination, but a world of imagination, that is not only a world of imagination, but a world of imagination, that is not only a world of imagination, but a world","The world of science fiction is a world of imagination, a world of imagination that is not only a world of imagination, but a world of imagination that is not only a world of imagination, but a world of imagination that is not only a world of imagination, but a world of imagination, that is not only a world of imagination, but a world of imagination, that is not only a world of imagination, but a world of imagination, that is not only a world of imagination, but a world"
A dung leh vang len zawng (aspect ratio) pianhmang hi 12 a sem in ration 3:1 a ni.,Mizo: A dung leh vang len zawng (aspect ratio) pianhmang hi 12 a sem in ration 3:1 a ni. English: A dung leh vang len lập (aspect ratio) pianhmang hi 12 a sem in ration 3:1 a ni.,A dung leh vang len lập (aspect ratio) pianhmang hi 12 a sem in ration 3:1 a ni.
