text,translated_text,clean_output
فرفينداهن منمبهي رݢم ݢينىتيك هڽر، وان فيليهن مهفوسڽ متان راݢم کلومفوك تليهة.,"Banjar: فرفينداهن منمبهي رم ينىتيك هر، وان فيليهن مهفوس متان رام کلومفوك تليهة. English: The amber is a precious gemstone. It is a very rare and valuable gemstone. It is also called the ""gem of the East"". It is a very beautiful and rare gemstone. It is also called the ""gem of the East"". It is a very beautiful and rare gemstone. It is also called the ""gem of the East"". It is a very beautiful and rare gemstone. It is also called the ""gem of the East"". It is a very beautiful","It is a very beautiful It is also called the ""gem of the East"". The amber is a precious gemstone. It is a very beautiful and rare gemstone. It is a very rare and valuable gemstone."
بوم فيسي باݢاوي باداساراكان ڤرينسيڤ باهوا ديڤارلواكان إينيرݢي ݢاسان ماڠݢابوڠاكان إينتي لاوان بڽك ڤروتون وان نيوترون.,Banjar: بوم فيسي بااوي باداساراكان ڤرينسيڤ باهوا ديڤارلواكان إينيري اسان ماابواكان إينتي لاوان بك ڤروتون وان نيوترون. English: The city of Banjar is located in the province of West Kalimantan. It is the capital of the province.,It is the capital of the province. The city of Banjar is located in the province of West Kalimantan.
نوکلىوس ڠتو إسيڽ دوا ڤرتيکىل - ڽىوترون وان ڤروتون.,Banjar: نوکلىوس تو إسي دوا ڤرتيکىل - ىوترون وان ڤروتون. English: The New Testament is the New Testament.,The New Testament is the New Testament.
ڠيني سوده ممبوليحكان لينسا ڤرڬانل ڬسن مهاسيلاكن ڬمبر-ڬمبر نڠ باكواليتس نڠ سابنديڠ كايا كواليتاس لينسا-لينسا نڠ مامكاي فوكوس ڤنجڠ تاتاڤ.,"Banjar: يني سوده ممبوليحكان لينسا ڤرانل سن مهاسيلاكن مبر-مبر ن باكواليتس ن سابندي كايا كواليتاس لينسا-لينسا ن مامكاي فوكوس ڤنج تاتاڤ. English: The word ""snake"" is used in the following contexts:","The word ""snake"" is used in the following contexts:"
ݢسن ببراف السن، إڽ اوڠݢول دي بݢين فروکسي وىب: بهنڽ مؤبه جلور برتأن للو لنتس إنترنىت، کدس بيا هتتف هجا.,"Banjar: سن ببراف السن، إ اوول دي بين فروکسي وىب: بهن مؤبه جلور برتأن للو لنتس إنترنىت، کدس بيا هتتف هجا. English: The first time I saw him, I was in love with him.","The first time I saw him, I was in love with him."
رانچڠن اينترقتيف مامرلواكن ايكم مانيلاي بأسا ڤاميكيرن ايكم مساله ميديا ڤرودوكسي وان بالاجر مميكيراكن دالم چارا نڠ كادا بياساڽ.,"Banjar: رانچن اينترقتيف مامرلواكن ايكم مانيلاي بأسا ڤاميكيرن ايكم مساله ميديا ڤرودوكسي وان بالاجر مميكيراكن دالم چارا ن كادا بياسا. English: The first time I saw you, I fell in love with you.","The first time I saw you, I fell in love with you."
ڠني جدي فچوبأن نڠ اومم، تفي واسي مؤله رودا کايو ݢربوڠڽ لبيه اؤس.,Banjar: ني جدي فچوبأن ن اومم، تفي واسي مؤله رودا کايو ربو لبيه اؤس. English: ني جدي فچوبأن ن اومم، تفي واسي مؤله رودا کايو ربو لبيه اؤس. Arabic: ني جدي فچوبأن ن اومم، تفي واسي مؤله رودا کايو ربو لبيه اؤس.,ني جدي فچوبأن ن اومم، تفي واسي مؤله رودا کايو ربو لبيه اؤس. Arabic: ني جدي فچوبأن ن اومم، تفي واسي مؤله رودا کايو ربو لبيه اؤس.
كاوانن تابنتوك متن سابوتيڠ سمڤأي تالو ترڬنتوڠ جنتن ڬانل، لاوان سمڤأي تالو ڤولوه باتينا وان انك-انكڽ.,"Banjar: كاوانن تابنتوك متن سابوتي سمڤأي تالو ترنتو جنتن انل، لاوان سمڤأي تالو ڤولوه باتينا وان انك-انك. English: The Chinese character for ""I am"" is ""I am"" (pinyin: ).","The Chinese character for ""I am"" is ""I am"" (pinyin: )."
"بيارڤون ال باايسي كونوتاسي يلمياه نڠ كوات, ال ماولاه چاباڠ يلمو كؤمڤوتىر نڠ ليوار ڤىنتڠ, ماناڠاني ڤىريلاكو, ڤبىلاجاران, وان اداڤتاسي چارداس دالام ماسين.","Banjar: بيارڤون ال باايسي كونوتاسي يلمياه ن كوات, ال ماولاه چابا يلمو كؤمڤوتىر ن ليوار ڤىنت, مانااني ڤىريلاكو, ڤبىلاجاران, وان اداڤتاسي چارداس دالام ماسين. English: The city of Banjar is located in the province of West Kalimantan, Indonesia. It is the capital of the district of Banjar.","The city of Banjar is located in the province of West Kalimantan, Indonesia. It is the capital of the district of Banjar."
اسڤيك راسياو بنتوك ڠيني (ترباڬي دوا بالس ڬسن ڽامن منداڤتي راسياو اڠكا كاسولوروهن) ماكڽا ديسمبت منجادي ٣:٢.,Banjar: اسڤيك راسياو بنتوك يني (ترباي دوا بالس سن امن منداڤتي راسياو اكا كاسولوروهن) ماكا ديسمبت منجادي ٣:٢. English: The Book of Ruth.,The Book of Ruth.
تليفون ستىليت لإن ݢسن فڠݢنتي تليفين سيلولير، فيان مستي بردا دي لوار رواڠن وان دي واده نڠ جلس تجڠکاو ستيليت ݢسن منليفون.,Banjar: تليفون ستىليت لإن سن فنتي تليفين سيلولير، فيان مستي بردا دي لوار روان وان دي واده ن جلس تجکاو ستيليت سن منليفون. English: سن فنتي تليفين سيلولير، فيان مستي بردا دي لوار روان وان دي واده ن جلس تجکاو ستيليت سن منليفون.,سن فنتي تليفين سيلولير، فيان مستي بردا دي لوار روان وان دي واده ن جلس تجکاو ستيليت سن منليفون.
بير ݢربوڠ چوما متن ففن کيو بسمبوڠ، ممبرييکن بهن کودا منريکڽ ݢسن منچفى کلجوان ترتيڠݢي لوان منريك بوأن نڠ تݢنل فدس دي جلنن نڠ کسر سبان هري.,"Banjar: بير ربو چوما متن ففن کيو بسمبو، ممبرييکن بهن کودا منريک سن منچفى کلجوان ترتيي لوان منريك بوأن ن تنل فدس دي جلنن ن کسر سبان هري. English: The word ""Bagh"" is derived from the Sanskrit word ""Bagh"" meaning ""to be in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state","The word ""Bagh"" is derived from the Sanskrit word ""Bagh"" meaning ""to be in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state of being in the state"
"اوراڠ سوداه ماڠاتاهوي تينتاڠ أونسور- أونسور كيمييا داسار كايا اماس, ڤيراك, وان تامباݢا ماتان جامان باهاري, ساباب ساباراتأن ڠيني ديتاموأكان دي الام دالام بانتوك اسلي وان ريلاتيڤ سادارهانا ݢاسان ديتامباڠ لاوان الات - الات ڤريميتيڤ.","Banjar: اورا سوداه مااتاهوي تينتا أونسور- أونسور كيمييا داسار كايا اماس, ڤيراك, وان تامباا ماتان جامان باهاري, ساباب ساباراتأن يني ديتاموأكان دي الام دالام بانتوك اسلي وان ريلاتيڤ سادارهانا اسان ديتامبا لاوان الات - الات ڤريميتيڤ. English:",
رودا سوده ماوبه دنيا ساچارا منقجوبكن. حال ڤاليڠ ڤنتيڠ نڠ سوده دڬاوي رودا ڬسن كيت يايتو ممباري كيت باڽك كاموداهن وان اڠكوتن نڠ لابيه لاجو.,Banjar: رودا سوده ماوبه دنيا ساچارا منقجوبكن. حال ڤالي ڤنتي ن سوده داوي رودا سن كيت يايتو ممباري كيت باك كاموداهن وان اكوتن ن لابيه لاجو. English: I am sorry for the trouble I have caused you. I am sorry for the trouble I have caused you.,I am sorry for the trouble I have caused you.
ڠيني دياوله ڬسن مامستياكن لماون ڬمبر مانوتوڤي سالياران. ڠينتو سمبتنڽ اوۏرسچان.,Banjar: يني دياوله سن مامستياكن لماون مبر مانوتوڤي سالياران. ينتو سمبتن اورسچان. English: ينتو سمبتن اورسچان.,ينتو سمبتن اورسچان.
كاڤل سلام جرمان ديسمبت كاڤل-او. بوبوهن جرمان حرات بانر دالم مڠامودياكن وان مڠندالياكن كاڤل سلام بوهنڽ.,"Banjar: كاڤل سلام جرمان ديسمبت كاڤل-او. بوبوهن جرمان حرات بانر دالم مامودياكن وان مندالياكن كاڤل سلام بوهن. English: The Banjara Hotel is a hotel in Banjar, Indonesia. It is located in the heart of the city, next to the Banjara Square. It is a 5-minute walk from the Banjara Square. The hotel has a restaurant, a bar, a swimming pool, a gym, and a conference room. The hotel is also a popular place for weddings and other events.","It is located in the heart of the city, next to the Banjara Square. The hotel is also a popular place for weddings and other events. It is a 5-minute walk from the Banjara Square. The hotel has a restaurant, a bar, a swimming pool, a gym, and a conference room. The Banjara Hotel is a hotel in Banjar, Indonesia."
"بييار كاداأن ڤيسيكيا موڠكين بأوباه, كاداأن كيميايا تاتاڤ ساما.","Banjar: بييار كاداأن ڤيسيكيا موكين بأوباه, كاداأن كيميايا تاتاڤ ساما. English: Banjar is a city in the Indian state of Karnataka. It is the capital of the district of Banjara Hills.",Banjar is a city in the Indian state of Karnataka. It is the capital of the district of Banjara Hills.
تاكنان ڤرموكأن ترجادي سابب موليكول بڽو دي ڤرموكأن بڽو كوات منجوهوت كا سيسي نڠ لايإن لابيه دريڤد ڠيتو كا موليكول اودارا دي اتس ڠيتو.,Banjar: تاكنان ڤرموكأن ترجادي سابب موليكول بو دي ڤرموكأن بو كوات منجوهوت كا سيسي ن لايإن لابيه دريڤد يتو كا موليكول اودارا دي اتس يتو. English: The name of the city is Banjar.,The name of the city is Banjar.
ساله ساتو متن ماساله نڠ ڤاليڠ اوموم واياه منچوبا ماروبه سابوتيڠ ڤيليم كا بنتوك دي ۏي دي اداله اوۏرسچان.,"Banjar: ساله ساتو متن ماساله ن ڤالي اوموم واياه منچوبا ماروبه سابوتي ڤيليم كا بنتوك دي ي دي اداله اورسچان. English: I asked him to tell me what he saw. He said, ""I saw a man with a sword.""","I asked him to tell me what he saw. He said, ""I saw a man with a sword."""
هسوسڽ، سمڤاي ادا نڠ کوا مڠتهوى إڽ ني بکرمفوت اتوا کداڽ ليوت مأرتيکن إکڤرىسي ــ ميکرو.,Banjar: هسوس، سمڤاي ادا ن کوا متهوى إ ني بکرمفوت اتوا کدا ليوت مأرتيکن إکڤرىسي ــ ميکرو. English: The owl is a bird of prey. It is a member of the family Owlidae. It is a large bird with a long tail and a long beak. It is a very intelligent bird. It is a very intelligent bird. It is a very intelligent bird. It is a very intelligent bird. It is a very intelligent bird. It is a very intelligent bird. It is a very intelligent bird. It is a very intelligent bird. It is a very intelligent bird.,It is a member of the family Owlidae. It is a large bird with a long tail and a long beak. It is a very intelligent bird. The owl is a bird of prey.
اماس بيسا ديڬاوي منجادي باڽك بنتوك. ڠيني بيسا دي ڬولوڠ منجادي بنتوك نڠ تيڤيس.,Banjar: اماس بيسا دياوي منجادي باك بنتوك. يني بيسا دي ولو منجادي بنتوك ن تيڤيس. English:,
