index_id,category,text
993,entertainment,"Newankubadde , bilina obulunji obwenjawulo mu biseera by'obutiti , n’ebifo binji ebyo munsozi nga zifuna omuzira munji era nga bisobozesa emizzanyo gya mu muzira."
755,entertainment,Zino wooteri abaggagga n’abettutumu mwebasula bafumba bulungi atte n’obulamu bw’ekiro bunyuma.
1239,entertainment," “Mulungi nyoo era ayimba bulungi nyoo, era,” yagambye okusinziira kukiwandiiko ky’olukungaana lwamawulire."
871,entertainment,Jjuza amakaago ne kakaawa ak'amaanyi kumakya ne kacaayi ka chamomile akawungeezi.
460,entertainment,Terefayina nyingi zikolebwa mungeri yakusanyusa bantu abolukale abasing.
431,geography,"Buturuuki yetolodwa ennyanja ku njuyi ssatu. Enyanja ya Aegean mu bukiikaddyo, ennyanja enzirugavu mu mambuka ne nnyanja ya Mediterranea mu maserengeta."
1692,geography,Ebifo ebinene nga odda mu manbuka bibeerwamu kitono ate nga ebimu kyenkana nsiko omutebeerwa muntu.
743,geography,Akazinga kabafumbi tekalina kibuga nakimu naye kalimu obuzinga obwenjawulo 15. Ezisinga ettutumu mwemuli Rarotonga ne Aitutaki.
1720,geography,"Ppaaka emalirawo ddala ekitundu kya 19,500 km² era egabanyizidwamu zooni endala entonotono, nga zonna ziwagira ebisolo byomunsiko byanjawulo."
1622,geography,Omugga gwa Amazon gwa kubiri mu buwanvu ne mu bunene mu nsi. Gutwala okusinga emirundi 8 amazzi mangi nga omugga ogwokubiri mu bunene.
1205,health,"Danielle Lantagne,omukugu w’ekitongole kya UN kukilwadde kinno agamba nti kyabalukawo lwabakuumadembe."
1203,health,"Nga ebibinja tebinatuuka, Haiti yali tenasanga buzibu obukwatagana ku bulwadde okuva mu jo 1800."
566,health,"Okulaba, oba okusobola okulaba kisinzira ku sisitimu yebinywa byokulaba oba amaaso."
1256,health,Entabika ya buno bu bbalaafu obusangiddwa mu musulo gw’obusolo obulwadde nga bageraageranyiza infrared spectroscopy(FTIR)
1578,health,Kebela obulambe okufuna enkozesa y’obuyambi obusokerwaako ku butwa obwo.
1936,politics,"Mu mwaka gwa 1994, olutalo lwalettawo ensi ya Transnistria mu buvva njuba bwa Moldovia, abalina gavumenti eyabwe n’ensimbi ezzabwe naye nga ensi z’amawanga amagatte tezibakililiamu."
280,politics,"Abateesiteesi b’okwekalakasa bagamba nti abantu nga 100,000 balabiseko mu bibuga bya Budaaki nga Berlin, Cologne, Hamburg ne Hanover."
247,politics,Abakulu bano balin’obuvanyizibwa okuwelezza ku by’obulamuzzu mu kawayiro bibiri ana mu musanvu 247 mu sematekka wa Pakistani
1439,politics,"Oluvanyuma lwokugwawo kw’obulumbaganyi, Bungereza yateekawo omusale gw’amajje ga Germany."
18,politics,"Waliwo okwekalakaasa mu nsi yona, abasibe nebasindikibwa ku arimanda era abakulembeze ba Iceland ne Pakisitani ne balekulira."
403,science/technology,"Muntandikwa y’olutalo basinga kutambuliranga ku ntiko y’asemayanja, naye nga radar etandika okukulakulana n’okufuuka abatuukiridde ab’okulubalama bakakibwa okugenda mumazzi okwewala okulabibwa."
1592,science/technology,"Nga amagezi ga bagereeki bwe gakendeera, obukiika kono bwesalako okuva ku mirandira gyayo ne bugeleeki eky'amaanyi."
1344,science/technology,Vatomu ayodologyeni bwe bukonta obwa zijibwako amasanyalaze gaazo (kyokka akaziba ka ayodologyeni kalimu akakonta kamu ne akasanyaleze kamu).
556,science/technology,Akazimba kamu kasobola okuda ke k’omugasso ennyo mu kuzimba matter
1645,science/technology,Kiringa okuyiringisa ekigaali ekizitowa ku kasozi. Okwawula nucleus waggulu nate kati awo nesumulula agamu ku maanyi ago.
555,sports,Banabyamizzanyo bayinza okuwulira nga bagala ekintu newankubande tekilina mugaso guli awo eri bo.
195,sports,"Massa atuuse okufuluma okutuuka ku nkomekerero ya sizooni ya 2009,"
553,sports,Okudduka okw'ebbanga eryawakati si muzanyo gwa bbeyi okutwaliza awamu; lwakuba mulimu okulemwa okutebereza obulungi kubikwata Ku bitundu by'ebyuma ebitono eby'etagiisa okwenyigiramu.
32,sports,"Emotoka ezaali mu maaso ga Alonso bwe zagenda okunywa amafuta mu motoka yokwekumisa, yeyongeddeyo mu maaso okulya obuwanguzi."
13,sports,Nadal yakola obuboneero 88% mu muzanyo nga obubonnero 76 yabufuna mu kitundu ekyasooka.
688,travel,"Abagenyi abalina obudde obutono, kyandibadde kirungi okutwaliriza obudde bwabwe mu biffo ebirala."
1764,travel,"Mpozi nekilala, mwegendeleza obuwoowo busikiriza n’ebisoro byomunsiko ebirala, n’olweekyo wewale okwefuuyira oba okufumba emere eyakawoowo era ekifo kikuume nga kiyonjo."
1785,travel,Okwewandisa amangu kiwa omutambuze eddembe mu birowozo nti bajja kufuna webasobola okwebaka bwebanatuuka gyebagenda.
1941,travel,"Boulevards engazi, nga zirina endabirwaamu ez’omumaaso n’amaduuka agomulembe zitonedwa nobusolya obwa tayilo emyuufu ezedda, akatale kekyaasa ekye 18, nemizikiti namakanisa ebikadde, yadde nga ekibuga kilina embeera esingako eya Mediterranean bulaya okusinga Butuluki eyedda."
996,travel,"Mu buli mbeera yonna, oteekeddwa okubukinga buteerevu n'abennyonyi ng'okozesa essimu."
