index_id,category,text
993,entertainment,"Komabe, zilindikukongola ndi kukomedwetsa nthawi yozizira, pamene mapiri ambiri amakhala ndi chpale chofewa ndipo utha kuchita masewero a skiing ndi snowballing."
755,entertainment,"Malo ogonawa kunali kumene anthu olemela ndi otchuka amasiku amenewo amakhala , ndiponso nthawi zambiri amakhala ndi malo abwino odyela komanso chisangalalo chabwino cha usiku."
431,geography,"Zigawo zitatu za dziko la Turkey zidazunguliridwa ndi nyanja: Nyanja ya Aegean kumadzulo, Nyanja ya Black kumpoto komanso nyanja ya Mediterranean kumwera."
1692,geography,Madera akuluakulu kumpoto kuli anthu ochepa ndipo kwina ndi kumathengo kosakhalidwa.
1205,health,"A Daniel Lanytage, Katswiri wa matenda ku bungwe la dziko lapansi wati matenda abukawa anayambitsidwa ndi asilikali ozetsa mtendere."
1203,health,"Pamene asilikali adali asadafikeko ku Haiti, sadakomanepo ndi mavuto okhuzana ndi matendawa kuchokera mu zaka za m'ma 1800."
1936,politics,"Nkhondo yomwe inachitika mu dera la Transnitria Republic ku Moldova lidapangitsa kuti delali lisakhale pa mndandanda wa mayiko mu UN , limenenso lili ndi ndalama yake komanso boma loyima palokha."
280,politics,"Akonzi a ziwonetsero zotsutsa amati pafupifupi anthu okwana 100,000 anafika m'mizinda ina yaku Germary ngati mizinda ya Berlin, Cologne, Hamburg, ndi Hanover."
403,science/technology,"Kumayambiliro ankhondo, anali kuyenda pa mwamba pamadzi koma kutabwela upangiri wa radar ma submarines anayamba kuyenda pansi pamadzi kuti asaonedwe."
1592,science/technology,"Pamene nzeru za anthu a Greece zimalowa pansi, anthu aku West anazipatula okha mumaganizidwe ndi sayansi yomwe idali yochokera ku Greece."
555,sports,Ochita masewera olimbitsa thupi amatha kumamva kufuna chinthu ngakhale chinthucho sichipindulitsa kwenikweni.
195,sports,Massa sapanga nao masewero kwa nyengo yonse ya yotsala ya 2009.
688,travel,Alendo amene alibe nthawi yambiri nkwabwino kuti akataye nthawiyo ku malo ena.
1764,travel,"Kuwonjezerapo, dziwani kuti fungo limayitana zimbalangondo ndi nyama zinaso, choncho pewani kutenga kapena kuphika zakudya za fungo ndipo msasa wanu ukhale waukhondo."
