text,actual_category,predicted_category,generated_text
Sự đột biến bổ sung biến thể di truyền mới và sự chọn lọc loại bỏ nó khỏi nhóm biến thể biểu hiện.,science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Sự đột biến bổ sung biến thể di truyền mới và sự chọn lọc loại bỏ nó khỏi nhóm biến thể biểu hiện. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science 
EXPLANATION: 
Sự đột"
Bom phân hạch hoạt động dựa trên nguyên tắc dùng năng lượng để kết hợp nhân nguyên tử với nhiều proton và neutron.,science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Bom phân hạch hoạt động dựa trên nguyên tắc dùng năng lượng để kết hợp nhân nguyên tử với nhiều proton và neutron. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science
EXPLANATION:
This sentence is about"
Nhân gồm có hai loại hạt - neutron và proton.,science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Nhân gồm có hai loại hạt - neutron và proton. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: -science
EXPLANATION:
Hạt nhân"
Điều này giúp cho ống kính khuếch đại tạo ra những hình ảnh với chất lượng có thể sánh ngang với hình ảnh được tạo ra bởi ống kính có tiêu cự cố định.,science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Điều này giúp cho ống kính khuếch đại tạo ra những hình ảnh với chất lượng có thể sánh ngang với hình ảnh được tạo ra bởi ống kính có tiêu cự cố định. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science
EXPLANATION:
This sentence is about"
Nó vượt trội hơn web proxy vì một số lý do: khả năng định tuyến lại toàn bộ lưu lượng Internet chứ không chỉ http.,science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Nó vượt trội hơn web proxy vì một số lý do: khả năng định tuyến lại toàn bộ lưu lượng Internet chứ không chỉ http. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: #science
EXPLANATION:
Nó vượt"
Thiết kế tương tác yêu cầu bạn đánh giá lại các giả định của mình về sản xuất truyền thông và học cách tư duy theo những cách thức phi tuyến tính.,science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Thiết kế tương tác yêu cầu bạn đánh giá lại các giả định của mình về sản xuất truyền thông và học cách tư duy theo những cách thức phi tuyến tính. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science
EXPLANATION:
Đó là một"
"Điều này đã trở thành thông lệ, tuy nhiên sắt đã khiến cho bánh xe ngựa nhanh bị hỏng hơn.",science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Điều này đã trở thành thông lệ, tuy nhiên sắt đã khiến cho bánh xe ngựa nhanh bị hỏng hơn. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science
EXPLANATION:
Đoạn văn"
Bầy gồm có một đến ba con đực trưởng thành có họ hàng với nhau cùng với khoảng ba mươi con cái và các con con.,science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Bầy gồm có một đến ba con đực trưởng thành có họ hàng với nhau cùng với khoảng ba mươi con cái và các con con. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: -science
EXPLANATION:
Động vật"
"Mặc dù trí tuệ nhân tạo (AI) có ý nghĩa rất lớn trong ngành khoa học viễn tưởng, AI cũng định hình một nhánh vô cùng quan trọng trong khoa học máy tính, xử lý các hành vi, có khả năng học tập và nhạy và mô phỏng trí thông minh trong máy móc.",science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Mặc dù trí tuệ nhân tạo (AI) có ý nghĩa rất lớn trong ngành khoa học viễn tưởng, AI cũng định hình một nhánh vô cùng quan trọng trong khoa học máy tính, xử lý các hành vi, có khả năng học tập và nhạy và mô phỏng trí thông minh trong máy móc. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: science
EXPLANATION:
Từ ""trí"
"Do đó, tỷ lệ khung hình cho định dạng này (chia cho mười hai để đạt được tỷ lệ toàn bộ con số đơn giản nhất) là 3:2.",science/technology,science/technology,"<|begin_of_text|>SENTENCE:
 Do đó, tỷ lệ khung hình cho định dạng này (chia cho mười hai để đạt được tỷ lệ toàn bộ con số đơn giản nhất) là 3:2. 
 Is this SENTENCE science, travel, politics, sports, health, entertainment, geography? 
OPTIONS:
-science
- travel
- politics
- sports
- health
- entertainment
- geography
-ANSWER: - science
EXPLANATION:
Tỷ lệ"
