index_id,category,text
993,entertainment,"Ne ri fãa, ub tara bũmb wʋsg neere la n pegd waog nõora wakate me, ne tan-bil zĩise n paamd sa-ko-gĩsdim wʋsgo n ka tar yelle ye, la a wate ne reem buuda toe-toe wala sa-ko-gĩsdim zũgu salsgo la sa-ko-gĩsdim zoese."
755,entertainment,"Ya hotel kansa pʋse la wakat kang ligda raamb la ne-beda ra gãae, n le tare b yʋng rib soams la yʋng vɩɩm neerem bee."
431,geography,"Tirki gilge ne mogr rãmb zĩis a tã: Aegean mogrã kẽnd nen-taoore, Black mogrã kẽnd nug rɩtgã la Mediterranean mogrã kẽnd nug-goabgã."
1692,geography,"Zi beda sin be nug ritg sene tara neb wusgo, zi kinr tolgin yaa viuwgo."
1205,health,A Danielle Lantagne n ya ONI wã bã-bangd bedra wilgame tɩ bãaga yadgra sabaaba wẽnda a yii na-gãand-bãanda tʋntʋmdba nẽngẽ.
1203,health,"Nã-nãnd tɩ sodaasa waa, Haiti tẽnga ra na ka tar zu-loeese n kẽed wala bãasa wɛngẽ n sɩng hal 1800 yʋʋmde."
1936,politics,"Yʋʋm 1994, zab kang yĩi sabaad tɩ Moldova yaanga tẽnga yik n koa menga soogre n yi tẽnga, n tara toore gofneema la a ligdi la a ka paam sakre ni ONI tẽnsa ye."
280,politics,"Sẽ siglg b kẽna yeela me tɩ yaa neb sõr sẽ ta neb 100,000 n yi Almagn tẽms wa Bɛglẽ, Kologn, Hãmbʋr la Anovr n kẽna."
403,science/technology,"Zabra sɩngre wakate b kẽena yi mogrã zugu, la wã radar rãmba yelle sẽn n sɩnga la wẽed sõma yɩɩd pĩnda zabr batayo rãmb sẽn n lisd koomẽ ra togde tu kooma tẽngre na yil tɩ neb la yã b ye."
1592,science/technology,"Grɛk pãng sẽn da boogd yĩnga, occident wa n ka le tõe n paam grɛk bãng rãmba la phylosophie wã ye."
555,sports,Zoɛtbã tõe tẽedame tɩ bãmb nonga bũm ning b’a a sãan ka kõt-b sõngr wʋsgo.
195,sports,A Masa ra sõmb paame n ka le wa n tãag 2009 yʋʋmda sɛɛbo.
688,travel,Etb nins sen pa tarb wér toin kinga zinss a taaba.
1764,travel,"N le passde, bãng tɩ yũug boolda wursa la we-rʋmsa taaba, ri-yinga zaag f meng ni ri-yũugse rogbo maa a zaabo, la ub le modg tɩ f gãaga zĩiga yi yilimde."
