text,actual_category,predicted_category,confidence
"Mutasi nambah variasi genetik anyar, lan seleksi ngilangake iki saka kelompok variasi sing diungkapake.",science/technology,science/technology,0.8260532021522522
Bom fisi murup saka prinsip menawa dibutuhake energi kanggo nggabungake nukleus sing akeh proton lan neutrone.,science/technology,science/technology,0.8325876593589783
Nukleus digawe saka rong partikel - nutron lan proton.,science/technology,science/technology,0.8990219831466675
Iki gawe lensa zoom bisa gawe gambar sing apik sing bisa dibandhingke karo lensa sing dawane fokus tetep.,science/technology,science/technology,0.8863614201545715
"Dheweke luwih unggul tinimbang proksi jaringan kanthi alesan: dheweke ngelih jalur lalu lintas internet, ora mung http.",science/technology,science/technology,0.7198647260665894
Desain interaktif nuntut sampeyan kanggo mbiji maneh asumsi sampeyan babagan produksi media lan sinau kanggo mikir kanthi cara non-linear.,science/technology,science/technology,0.8229905962944031
"Iki dadi praktik umum, nanging wesine nyebabake panganggo luwih akeh ing perangan roda kayu kreta.",science/technology,science/technology,0.4096575975418091
"Klompok singa iki anggotane siji nganti telu singa diwasa lanang, karo sawetarane telun puluh singa wadon lan dibal.",science/technology,science/technology,0.7394999861717224
"Sanajan Al duwe sawijining konotasi sing kuat saka fiksi ilmiah, Al gawe cabang sing penting banget kanggo ilmu komputer, ngadhepi kelakuan, pasinaon lan adaptasi pinter ing jero sawijining mesin.",science/technology,science/technology,0.9696033596992493
Tentandhingan aspek format iki (kaperang kanthi rolas kanggo ngasilake tetandhingan angka sing paling prasaja) mula saka iku disebutake 3:2.,science/technology,science/technology,0.8248298764228821
"Telpon satelit kuwi dudu kanggo ngowahi telpon, amarga sampeyan kudu menyang njaba kanthi jalur sing cetha menyang satelit yen kepingin telpon.",science/technology,science/technology,0.593872606754303
"Sanajan rel sepur grobag mung kasusun saka papan kayu sing sejajar, bisa nggawe jaran narik grobag supaya bisa luwih cepet lan narik beban luwih gedhe tinimbang ing dalan sing rada kasar.",science/technology,geography,0.32591938972473145
"Wong-wong wis mangerteni babakan elemen kimia dhasar kayata emas, perak, lan tembaga saka jaman ndhisik, amarga iku kabeh bisa ditemokake ing alam ing bentuk asli lan lumayan gampang kanggo ditambang kanthi alat primitif.",science/technology,science/technology,0.8103864192962646
Roda wis ngowahi donya kanthi cara sing apik. Sing paling gedhe yaiku nyiptakake kendaraan sing gampang lan uga cepet.,science/technology,science/technology,0.697286069393158
Iki digawe kanggo mesthekake menawa gambar nutup kabeh layar. Iki diarani overscan.,science/technology,science/technology,0.7080084681510925
Kapal selam Jerman kuwi diarani kapal-U. Wong-wong Jerman biyen dikenal pinter banget ngarahke lan nglakokake kapal selame.,science/technology,science/technology,0.8483338952064514
"Sanadyan wujude bakal malih, nanging wujud kimiane bakal tetep padha.",science/technology,science/technology,0.5589890480041504
Panthenging pasuryan dumadi amarga molekul banyu ing pasuryan banyu tarik-tinarik siji liyane luwih saka molekul udhara ing ndhuwure.,science/technology,science/technology,0.49542251229286194
Salah sawijining masalah sing paling umum nalika nyoba ngowahi film dadi bentuk DVD yaiku overscan.,science/technology,entertainment,0.5963654518127441
"Kanthi khusus, dinyatakake menawa ana sing bisa nemokake menawa wong sing ngapusi kanthi napsirake mikro-ekspresi kanthi bener.",science/technology,science/technology,0.8087271451950073
Emas bisa digawe dadi bentuk apa wae. Iku bisa digulung dadi bentuk sing cilik.,science/technology,science/technology,0.5841436386108398
"Sistem AI saiki asring digunakake ing ekonomi, pangobatan, permesinan lan saradhadhu, amarga wis dibangun ing pirang-pirang piranti komputer omahan lan aplikasi dolanan.",science/technology,science/technology,0.9221286773681641
"Iku isih diprodhuksi dina iki, nanging sing luwih penting rasio aspek wis diwarisake dening format sensor gambar kamera digital.",science/technology,science/technology,0.9064253568649292
Aturan kaping telu sing paling asring-dilecehke iku panduan sing sederhana nalika nyiptakake dinamisme kanthi uga njaga rasa tertib ana njero gambar.,science/technology,science/technology,0.5496412515640259
"Iki ora mung negeske yen ana dinosaurus sing nduweni wulu, teori sing wis kasebar, nanging umume durung ana fosil sing bisa dienggo bukti, umpamane warna lan wujut telung-dimensi.",science/technology,science/technology,0.7602145075798035
"Kepiye gravitasi Io bakal narik kula? Yen sampeyan ngadeg ing permukaan Io, sampeyan bakal kelangan aboting awak tinimbang yen sampeyan ing Bumi.",science/technology,science/technology,0.7021974921226501
NextGen minangka sistem sing dituntut FAA bakal ngidini montor mabur kanthi jalur sing luwih cendhek lan ngirit yutanan galon bahan bakar saben taun lan ngethok pancurating karbon.,science/technology,science/technology,0.7007047533988953
Data neurobiologi nyedhiyakake bukti nyata kanggo cara mbuktekake teori mriksa kasadharan. Amarga daerah sing dipriksa saya cilik lan saya cetha.,science/technology,science/technology,0.624275803565979
"Nalika pidato 2 jam iki dheweke ngujar yen ""Saiki Apple bakal nemokake maneh telpon, Kita bakal gawe sejarah dina iki"".",science/technology,science/technology,0.7589406371116638
Kakurangane lensa kanggo nggedhekake yaiku karuwetan fokus lan jumlah elemen lensa sing dibutuhne kanggo ngentukne kisaran dawane fokus iku luwih gedhe tinimbang kanggo lensa utama.,science/technology,science/technology,0.8558369278907776
"Persis karo remot TV, pangatur nggunakake rong sensor sing dipasang ing cedhak TV pangguna kanggo nggawe triangulasi posisi ing lowahan telung dimensi.",science/technology,science/technology,0.7203360199928284
. Ilmuwan ngujar yen rupane wulu kewan iki coklat-kacang ana ndhuwur lan pucet utawa warna karoten ana sisih ngisor.,science/technology,science/technology,0.8948553800582886
"Keloro senyawa reaksi siji lan liyane kanggo mbentuk kristal sing mungkin ngalangi fungsi ginjal, panaliti ing universitas iku kandha.",science/technology,science/technology,0.6889724731445312
Resolusine ameh ping papat saka 35 mm negatif (3136 mm2 nglawan 864).,science/technology,science/technology,0.9473960995674133
"Awit saka sambungan kabel serat optik ngisor laut menyang Eropa lan broadband satelit, Greenland bisa nyambung apik kanthi 93% pedunung sing duwe akses internet.",science/technology,science/technology,0.6626020073890686
"Salah sawijine aplikasi sing paling katon ana pilihan iki yaiku Google Terjemahan, sing bisa mbantu ngartekke ukara tanpa perlu kaubung internet sabubare ngundhuh data basa sing dipengini.",science/technology,science/technology,0.8760979175567627
"Struktur molekule kuwi tetep padha sanadyan wujute gas, cair, utawa padhet.",science/technology,science/technology,0.5017030239105225
"Panggunaan rekaman vidio wis ngasilake panemuan penting ing tapsiran ekspresi mikro, obahing rai sing ana pirang-pirang milidetik.",science/technology,science/technology,0.7588241100311279
Manungsa wis gawe lan migunakake lensa kanggo nggedhekake kanggo ewon-ewon taun.,science/technology,science/technology,0.7706247568130493
"Ora mung siji kuwi, uji coba, lan uji coba yaiku cara sing digunakake kanggo mbuwang siji utawa luwih akeh hipotesis sing bisa kadadeyan, gawe pitakonan, lan gawe pengamatan uga nuntun penelitian ilmiah.",science/technology,science/technology,0.9034029841423035
