text,actual_category,predicted_category,logprob
"O ukumbu ubandekesa owukexilu wa ubhe wa mwiji, owusangwilu ukatula mwaxaxe ka ubhilulukilu walondekesa.",science/technology,entertainment,-4371.9541015625
Kitota kya kutandula kikalakala mu kaxi ka ngungi kwila twatokala tukala ni enelejiya phala kutunga núcleo ni jipolotao javulu ni jineutolao.,science/technology,entertainment,-4445.181640625
Okaxaxe kakala ni jimbandu jiyadi - jinewutolonji ni jipolotonji.,science/technology,travel,-4257.91650390625
Kiki kyakwatekesa mawana zoom mu kubhanga izuzumbya ya kuwabha kwasokelesa ni yakatula kwala mawana ni dikanga kutwinisa kwemana.,science/technology,entertainment,-4421.60546875
"Ene kota jipoloxye ja web ndenge mukonda dya ima yavulu: Mwakamumutumikisa ni ikalakalu yoso ya Intelenet, http ngó kana.",science/technology,politics,-4447.56689453125
"Kwijiya kudibhana ni akwenu, kubhanga kwila uzonga kizwelu kye kuthandu dya jihundu anga kiwubanze mu ubeka.",science/technology,politics,-4412.677734375
"Kiki kyadibhanga ubhangelu wa hatu, anga utadi wabhekesa dingi kubhwila kwa malola a mabaya a makalu.",science/technology,geography,-4380.93359375
"Imbungu jakala ni ifwa ya kukala ndumbe imoxi ndu mu kitatu kya makota jadifu, kumoxi ni kitangu kizukama ku makwinyi a tatu dya akaji ni twana.",science/technology,geography,-4440.6181640625
"Ha IA wala ni kutena kwa kulondekesa ibhanzelu ya kwejiya, IA wala ni tangu yabeta kota kwijiya kusoneka ku komputadolo, kudilonga ni kudikwatekesa ni kwejiya ni kilunji ku kyanji.",science/technology,sports,-4497.6201171875
Okusokesa kwa ukexilu yu (mu uwanenu wa dikwinyi ni kiyadi kya mu kayula ka kusanga ombandu ya kitangu kyasoko mu kulelukaku dingi) kyene kibhana okayula kala ka 3:2.,science/technology,politics,-4502.7041015625
"Mutelembe umoxi wakaswekele mukonda dya satelite koweneku ibhinga bhu kibuta kya mutelembe yakudifetela, kuma kyabhingi kukala bhu kididi kya sanzumuka ni muxinda umoxi wa uwanenu phala kwebhela satelite kubhanga kixanu mukonda dya mutelembe.",science/technology,politics,-4592.8486328125
"Ha kuma njila ya makalu yakexile ngo mu jitabwa ja mabaya, yakexile mu kwatekesa o jikavalu mu kusunga phala kutena lusolo lwakatunda ni kusunga inemenu yonene mu kwisokelesa ni mu ikoka yakala dingi ni makungu ku kizuwa.",science/technology,entertainment,-4531.18798828125
"Athu ejiya majina ma kimika madyanga kala ulu, phalata, ni kobele ya ukulu, mukonda ni yoso twasoku kuyisanga bhoxi mu kifwa kye kyawuvalukilu anga ki ibhonzo kuyizangula ni imbamba yetu ya ukulu.",science/technology,politics,-4550.42578125
Dilola dyalungulula ngongo mu ukexilu wasunga. Kima kyadikota kyatubangela diloa kutubhana dyendelu dyambote kyabhebhuluka ni lusolu.,science/technology,geography,-4411.77734375
kiki akibange phala kukwatekesa kuma okizuzumbya kifuta lumwenu lwoso. ku iyi ayixana overscan.,science/technology,health,-4312.109375
Akwa ixi ya Alemanha endela koxyamenya aexanene U-Boats. Akwa ixi ya Alemanha akexile athu ambote mukutabhula ni kwendesa endela koxi ya menya. Tubamba tutu atwixana tulembyatubhya.,science/technology,geography,-4526.11572265625
"Katuku owubhilulukilu wa mukutu, owukexilu we wene hanji umoxi.",science/technology,politics,-4304.91455078125
Kixinu kya makutu kibita mukonda jimolekula ja menya kutandu ya menya amwabangesa kuyila kwengi kwa akwa ku jimolekula ja mulenge kutandu dya.,science/technology,politics,-4378.7529296875
Maka amumonekaku dingi kyoso kyamufikisa kubhilula filime imoxi mu ukexilu wa DVD kwene kuvula kwa izuzumbya.,science/technology,geography,-4417.86474609375
"Tutona, akitange kuma tutena kumona ha muthu wala mututobhesa mukutonginina tuyizwelu twofele.",science/technology,politics,-4386.05712890625
Ulu atena ku ubhanga kikalakalu mu ukexilu wavulu matelu. Atena we ku udimba mu ukexilu wofele.,science/technology,health,-4299.392578125
"Oyidyandu ya IA mu kindala ni mu izuwa yoso yene mukwatekesa mu misanzu ya kumamena, umbanda, ufunu wa matenda ni usoladi, kala kyene ene mutunga mu ididi komputadolo yabata ni softwele ya malunda ni jivideo.",science/technology,politics,-4522.7041015625
"Ni lelu hanji ene muyibanga, maji phe, kijingu kya diweza dingi, o kitakanesu kye mu ukexilu kyolundule mu ukexilu wa ividilu ya izuzumbya ya jikamala jamilembu.",science/technology,entertainment,-4488.203125
