index_id,category,text
993,entertainment,"Oh koffei, Oh kofféi, ninnin wagati tunmanan, tchèkagni ani kônonkagni obéyé, ni sanfè kuru mikônon nègui ani mu bènan skii kè samara lamani ani yiri tani."
755,entertainment,"Hoteli nugu ye yoroye nafolo tigihu ani ma togoma mogo bena shi, ani toun be dumini gnuma kè ani touma dow la ani ka sufèla gnuma latimi."
1239,entertainment,"“A tchekagni wa abesse donguirila fonnonila, aka ofô” kounafolidilaw gnanan ola djongonye transcripsion gnoumanna."
871,entertainment,"Sôgômadafê, ibé café barakaman shaya î ya boon là, ani sourafê fana fê ibé fari lafoni thé chaman sigui."
460,entertainment,Jabaranin tchaman dilan nan janko o ye dja foroba môgô o ye.
431,geography,"Turqui djaman la miniyé fan saba kôdjila: Kôdji Agéen térébéyôrô, Kôdji Fiman sanfè yôrô ani kôdji Mediterranéen dogouman yôrô."
1692,geography,"nori fanfèla yôrô ba dowuman kè djama mayôrôyé ani ayôrôdow bé tukoonon yôrôyé, sigui téyi."
743,geography,Dougouba té Ïles Cook ayiwa a kèla ni djida yôrô tan ni lorou. Djida yôrô béré ba bé rarontonga ani Aitutaki.
1720,geography,"Parki ayé waga tan ni kônôdô ni kinmin loru km2, ani tranyé fan tan ni nanni ecozone fan, fan kélé ni tu sogo sigui sôrô."
1622,geography,Amazoni baa yé dounougnan baa bèladjèni filayan yé djanya la ani dounougnan baa bèla djèniw bélébéléba yé. A konnon dji kacha chiyan ségui katèmè dounougna baa filayan kan.
1205,health,"Danielle Lantagne, UN ta lonibaga ba do djangaro fila kè ro, we ko ko a daminan djonan bo ni kèlè la tiguè bagaw lé la."
1203,health,"Fôlô môgô tchienman nan, Haiti coungo to mantcha bana kolé foo kabini san 1800."
566,health,"Yélikè, or yélikè fôn lébôla yélikè mara, or yankissè léla."
1256,health,Ni crisitali-ow labinkisè bé gnôngônta ni minou sôrô la sougounin bôçi yèlèow touman mine a kègnèna jaata gnènnè gnènè spèkitrôsikôpi fè (FTIR).
1578,health,Ayé marki flè ka kow tacogo lƆ posoni ni ta kola.
1936,politics,"San waga kélé ni kèmè kônondô ni bi-kônondô ni nani (1994) kônon, balawu mi gnaminèni yèrè kofô Transnistria djamana danli ma Moldovi djamana térébô fanfè mina yèrè tôgôra gouvèrènèman ani wori abolo n'ga ama long dounougnan forobaton djamanaw si boro."
280,politics,"Banbaga kolabênlaw tounko môgô bakêmê seguila Aliman dugubadôwla inafô Berlin, Cologne, Hamburg ni Hanover."
247,politics,Bara keila nounou kanka gouvernemen tchakedaw ni charia bara yôrô layiriwa Pakistan djamanan ka charia ba articli keiminfla ni binanni ni wolofla konnonan ra.
1439,politics,"Sonni kèlè woulini kô fè, Angélétèri djamana ka dji kourounw bila ka Allimagni djamana bali."
18,politics,"Mangan koun be dounia fanbè, ou ye môgô chaman minè kata ou kiti tchèliko la, ani Icelandi ni Pakistan djamana fila bèè kountiguiw k'aw yèrè séng'bô mârâ la."
403,science/technology,"Lagèri daminin la o fanba tagamana kôgôdji sanfèla la, n'gua ina fô radari yiriwali damininna ani kèli lakika katimi djikônôn militèriw toun karabala ka taga dji dougouman ka o bali yéli ma."
1592,science/technology,"I yafô Grèki loniya dôgôyala, Faragwela ka yé ko o ya filozofi ani scientifis lôni djourou tiguèra."
1344,science/technology,Hydrogeni ionw ye protonw ye miw electronw bola ola (baw proton de kele ani electron de kele lebe bin hydrogeni missikara djarati man).
556,science/technology,atomu be se ka ye komu nafamafɛn min be sɔrɔ fɛn bɛ kuru na kɛcogoya la.
1645,science/technology,Sougou dôw i'na fô wotoro gwiliman dô bori fo koulou sanfè. Kisè tchètchili tougou i ko be o barika dôw bila.
555,sports,Farikolognagwèlaw be se ka miri ko o be fen dô kanu hali ni tônô bèrè fohi te o fen tôgô la.
195,sports,Massa kan ka bô san waga fila ni kônôndô gnôngôdan tô la.
553,sports,"Tchèmantchè djanyan boli bi ina fô sôngô nôgôman djarasisi; o'na taa bèè, hakilinan tilébaliw dakoun minan dama dô nônfè ka tôgosèbè béi."
32,sports,"Toumaminan mobili miw tou bé Alonso gnin lôla ka essansi ta, a blala tôw gnin ka gninmôgôya ta."
13,sports,"Ni i ka kèmèdjata ta, Nadal ka kuru biseegi ni seegi lo sôrô yongô kan tolaci la. O la a ka sé sôrô ni kuru bi wonlofila ni wôrô ye ben fôlô la."
688,travel,"Dounan minw waguati kôrô tô la, a ka fissa o man o yé o ka waguati tinmin yôrô gbèrè la."
1764,travel,"Ka faran o kan, a ya lo ko kasa be urisi wele ani kungo sogo to, o le kanman a kana kasa dulini tebi, ni o temena ka kan u seneya."
1785,travel,"Ka kon ka iya shibo'ng sarra lonanyorro la, obe dougou taga baga akili sigui sabou a lanibara ko chiyorro ba konnon nan a taga yorro ra."
1941,travel,"Siraba baw, gnafèla vèèri sojanw ni sanni sanni sagama centri-o dilan na kabô fôlô fôlô sanbo touli-o woulén, kèmèsi tan ni chégui ka kon issa gna sougoufiè-o, ni misiri kôrôman-o ni léguilisi-o, halidougouba yôrôcogoya bôra Erôpou Meditrranean la katimi Tourouki kôrô kan."
996,travel,A kakei gnan oh gnan ikan'ka ka wele kei telephone nan ka iya manminanri kei.
