text,actual_category,predicted_category,confidence
"Мутација додаје нову генетску варијацију, а селекција је уклања из фонда изражене варијације.",science/technology,travel,0.7007168531417847
Фисијска бомба ради на таквом принципу да узима енергију да би се саставило језгро са много протона и неутрона.,science/technology,travel,0.8321542143821716
Нуклеус се састоји од две честице - неутрона и протона.,science/technology,travel,0.7956883907318115
Ово је омогућило зум објективима да створе слике које се по квалитету могу поредити са онима које се постижу са сочивом са фиксном жижном даљином.,science/technology,travel,0.8106417059898376
"Они су супериорнији од веб проксија из неколико разлога: Преусмеравају сав интернет саобраћај, а не само хттп.",science/technology,travel,0.7547064423561096
Интерактивни дизајн захтева да преиспитате своје претпоставке о медијској продукцији и научите да мислите на нелинеаран начин.,science/technology,travel,0.9236042499542236
"Ово је постала устаљена пракса, али је гвожђе узроковало више оштећења на дрвеним точковима кола.",science/technology,travel,0.8925791382789612
"Чопори се састоје од једног до три одрасла мужјака у сродству, упоредо са чак до тридесет женки и младунаца.",science/technology,travel,0.8930423855781555
"Иако ВИ вуче снажну конотацију ка научној фантастици, ВИ је врло важна грана рачунарске науке која се бави понашањем, учењем и интелигентном адаптацијом машина.",science/technology,travel,0.803649365901947
Сматра се да је однос димензија овог формата 3:2 (подељен са 12 да би се добио најједноставнији однос у облику целог броја).,science/technology,entertainment,0.5758237242698669
"Сателитски телефон обично није замена за мобилни телефон, јер да бисте телефонирали, морате бити на отвореном и да вам сателит буде у јасном видокругу.",science/technology,travel,0.8290578722953796
"Иако су се ране железнице састојале само од паралелних дрвених дасака, омогућавале су коњима који вуку вагоне да постигну веће брзине и повуку веће терете него на мало неравнијим путевима у то време.",science/technology,travel,0.8511606454849243
"Људима су од давнина били познати основни хемијски елементи као што су: злато, сребро, бакар, с обзиром да се они могу пронаћи у природи у изворном облику и да се могу релативно лако ископати примитивним алаткама.",science/technology,travel,0.9662635326385498
Точак је променио свет на невероватне начине. Највећа ствар коју је точак урадио за нас је што нам је омогућио много лакши и бржи превоз.,science/technology,travel,0.9650763869285583
Ово се ради како би се слика приказивала преко целог екрана. То се назива „корекцијом ивице екрана“.,science/technology,travel,0.6570494174957275
Немачке подморнице звале су се U-бродови. Немци су били врло добри у навигацији и управљању својим подморницама.,science/technology,travel,0.92173832654953
"Иако се његово физичко стање може променити, његово хемијско стање остаје исто.",science/technology,travel,0.476129949092865
"Површински напон настаје због тога што се молекули воде на  површини воде међусобно снажно привлаче, више него што је то случај са молекулима ваздуха изнад њих.",science/technology,travel,0.805759847164154
Оверсцан је један од најчешћих проблема који се јавља када желите да филм конвертујете у DVD формат.,science/technology,entertainment,0.9599525928497314
"Нарочито се тврди да, ако тачно тумачите микроизразе, можете да уочите да ли нека особа лаже.",science/technology,travel,0.8761808276176453
Злато се може обрађивати у свим врстама облика. Може се ваљати у ситне облике.,science/technology,science/technology,0.38186877965927124
"Систем вештачке интелигенције (AI) се сад често користи на пољу економије, медицине, инжињеринга и у војне сврхе, с обзиром да је уграђен у неколико кућних компјутера и софтвер апликација за видео игрице.",science/technology,science/technology,0.6936571598052979
"Производи се и данас, али што је још битније, његов однос ширине и висине наследили су формати сензора слике на дигиталним фотоапаратима.",science/technology,travel,0.8534331917762756
"Правило трећина које се често злоупотребљава и често исмева је једноставно упутство које ствара динамичност, а истовремено задржава меру реда на слици.",science/technology,travel,0.6249117851257324
"Поред тога што потврђује да су бар неки диносауруси имали перје, што је већ општеприхваћена теорија, ово нам даје и детаље које фосили у начелу не могу, као што су боја и тродимензионална поставка.",science/technology,travel,0.9261182546615601
"Какав би утицај гравитација сателита Ија имала на мене? Ако бисте стајали на површини Ије, имали бисте мању тежину него на Земљи.",science/technology,travel,0.8716148734092712
"NextGen је систем за који FAA тврди да ће омогућити летелицама летење краћим рутама, и да уштеде на милионе галона горива сваке године, као и да смање емисије угљен диоксида.",science/technology,travel,0.9029576778411865
Неуробиолошки подаци пружају физички доказ за теоретски приступ истраживању когнитивних способности. Самим тим се сужава поље истраживања и то га чини много тачнијим.,science/technology,travel,0.5717582702636719
"Током свог двочасовног говора изјавио је да ће „данас Епл да изврши потпуни преображај телефона, данас ћемо ући у историју“.",science/technology,travel,0.9428840279579163
Мана зум објектива је та што су жижна комплексност и број елемената објектива који су потребни да би се постигао распон жижних даљина много већи него код обичних објектива.,science/technology,travel,0.7246870994567871
"Налик на даљински управљач за телевизор, овај управљач користи два сензора смештена поред телевизора корисника како би триангулацијом прерачунао своју позицију у тродимензионалном простору.",science/technology,travel,0.8480974435806274
Научници кажу да је перје ове животиње било кестенасто браон боје на врху и бледе или боје картеноида са доњих страна.,science/technology,travel,0.8000192046165466
"Два једињења међусобно реагују формирајући кристале који могу блокирати рад бубрега, рекли су истраживачи са универзитета.",science/technology,travel,0.9778875708580017
Ово даје скоро 4 пута већу резолуцију од негатива од 35 mm (3136 mm2 наспрам 864).,science/technology,travel,0.5468137264251709
"Захваљујући подводним кабловским везама са оптичким влакнима ка Европи и широкопојасном сателиту, Гренланд је добро повезан са 93% популације која има приступ интернету.",science/technology,travel,0.9001337885856628
