index_id,category,text
993,entertainment,"Wa m3a dhalik, fa inahum yatamata3un bi naw3 mukhtalif min al-jamal wa al-si7ir khilala fasl ashita2, 7aythu yatalaqqa al-3adid min ma7attat al-tilal kammiyyat si77iyya min athalj wa tuqaddim anshita mithl attazalluj 3ala athalij wa attazaluj 3ala aljalid."
755,entertainment,"Shakkalat hadhihi al-fanadiq al-makan allathy qad yuqimu fih al-mashahir, wa ghaliban ma kanat tuqaddimu ta3aman shahiyan wa saharat ra2i3a."
431,geography,"Ta7taden 2al be7ar turkeya min thalath jehat: ba7r 2eje min 2al gharb, 2al ba7r 2al 2aswad min 2al shamal, wal ba7er 2al mutawasset min 2al janub."
1692,geography,"Tatamayaz almanatiq ashasi3a allaty taqa3u na7iyat ashamal bi annaha dhat kathafa sukkaniya munkhafidha, wal ba3dh al-akhar ghayr ma2hul bi ssukkan taqriban."
1205,health,"Wa qalat Danielle Lantagne, khabirat al-umam al-muta7ida fi hadhihi al-amrad, inna tafashi hadha al-amrad kana 3ala al-arja7 bi-sabibi quwwat 7ifiz al-salam."
1203,health," Lam takun tuwajih Haiti ay mashakil muta3alliqa bil marad mundhu 7iqbat al 1800, ay qabla wusul al-quwwat."
1936,politics,"Fi 3am 1994, adda hadha assira3 ela isha2 jumhuriyyat Transnistria fi shareq Moldova, wa a3lanat 3a istiqlaliha wa 3umlatiha arrasmiyya illa annaha lam yatim al i3tiraf biha min qibal adduwal al 3ada2 fil Umam al Muta7ida."
280,politics,Wa qala munazimu al-i7tijaj inna 7awali 100 alf sha5s 7adaru fi mudun Almanya methla Berlin wa Kologne wa Hamburg wa Hanover.
403,science/technology,"Fi bidayat nushub al 7arb, laqad safaru fi al ghaleb 3abra al ba7r, wa laken 3endama bada2a al radar fi al 6a6awwor wa asba7a akthar deqqatan, edh6arrat al ghawwasat ila al ghaws ta7ta al ma2 li tajannub ru2yataha."
1592,science/technology,"Ma3a taraju3 alma3rifa alyunaniya, wajada algharb nafsahu munqati3 3an judhurih alfalsafiya wa al3ilmiya alyunaniya."
555,sports,Qad yash3ur arriyadiyun annahum yufadhilun muntajan 7ata 3indama la yuwaffir fawa2id 7aqiqiya.
195,sports,Wa mina al-muqarar an yaghib Massa 3an baqiyat mawsam 2009 3ala al-aqal.
688,travel,Mina al-afdhal 2an yaqdi azzuwar dhawu al-waqt al-ma7dud waqtahum fi makanin 2akhar.
1764,travel,"Bil-2idhafa ila dhalika, yajibu 2an tudrika 2anna arrawa2i7 tajdhib addibaba wa ghayriha mina al-7ayawanat al-barriya, lidha tajannab 7aml aw tahy al-at3ima dhat arra2i7a al-fawa7a wal 7ifadh 3ala nadhafat al-mukhayam."
