text,actual_category,predicted_category,confidence
"Mutation adds new genetic variation, and selection removes it from the pool of expressed variation.",science/technology,science/technology,0.8162333965301514
The fission bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.,science/technology,science/technology,0.7876487374305725
The nucleus consists of two particles - neutrons and protons.,science/technology,entertainment,0.4582943618297577
This has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length.,science/technology,entertainment,0.450664222240448
"They are superior to web proxies for several reasons: They re-route all Internet traffic, not only http.",science/technology,entertainment,0.5369558334350586
Interactive design requires that you re-assess your assumptions about media production and learn to think in a non-linear ways.,science/technology,entertainment,0.7449352145195007
"This became common practice, but the iron caused more wear on the wooden wheels of the wagons.",science/technology,politics,0.23936396837234497
"Prides are made up of one to three related adult males, along with as many as thirty females and cubs.",science/technology,entertainment,0.6117557883262634
"Although AI has a strong connotation of science fiction, AI forms a very important branch of computer science, dealing with behavior, learning and intelligent adaptation in a machine.",science/technology,science/technology,0.6889398097991943
The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,science/technology,entertainment,0.5058656930923462
"A satellite phone is not generally a replacement for a mobile phone, as you have to be outdoors with clear line of sight to the satellite to make a phone call.",science/technology,entertainment,0.40309083461761475
"Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.",science/technology,entertainment,0.5915012955665588
"People have known about basic chemical elements such as gold, silver, and copper from antiquity, as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools.",science/technology,science/technology,0.38637614250183105
The wheel has changed the world in incredible ways. The biggest thing that the wheel has done for us is given us much easier and faster transportation.,science/technology,entertainment,0.5575293898582458
This is made to ensure that the image covers the whole screen. That is called overscan.,science/technology,entertainment,0.9027624130249023
German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.,science/technology,sports,0.2480289787054062
"Although its physical state may change, its chemical state remains the same.",science/technology,health,0.3983202278614044
Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,science/technology,science/technology,0.29484227299690247
One of the most common problems when trying to convert a movie to DVD format is the overscan.,science/technology,entertainment,0.9599042534828186
"In particular, it is claimed that one can detect whether a person is lying by interpreting micro-expressions correctly.",science/technology,entertainment,0.6151129007339478
Gold may be worked into all sorts of shapes. It can be rolled into tiny shapes.,science/technology,entertainment,0.3549903631210327
"The AI ​​system is now often used in the fields of economics, medicine, engineering and the military, as has been built in several home computer and video game software applications.",science/technology,entertainment,0.687997043132782
"It is still produced today, but more importantly its aspect ratio has been inherited by digital camera image sensor formats.",science/technology,entertainment,0.9355162978172302
The much-abused and often-ridiculed rule of thirds is a simple guideline creating dynamism while keeping a measure of order in an image.,science/technology,entertainment,0.6126358509063721
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.",science/technology,science/technology,0.41623833775520325
"How would Io's gravity pull on me? If you stood on the surface of Io, you would weigh less than you do on Earth.",science/technology,science/technology,0.4987671971321106
NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.,science/technology,entertainment,0.3530603051185608
Neurobiological data provide physical evidence for a theoretical approach to the investigation of cognition. Therefore it narrows the research area and makes it much more exact.,science/technology,science/technology,0.7089572548866272
"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".",science/technology,entertainment,0.7409965395927429
The disadvantage of zoom lenses is that the focal complexity and number of lens elements required to achieve a range of focal lengths is much greater than for prime lenses.,science/technology,entertainment,0.6546289920806885
"Resembling a television remote, the controller uses two sensors placed near the user's television to triangulate its position in three-dimensional space.",science/technology,entertainment,0.6283220052719116
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,science/technology,science/technology,0.32846009731292725
"The two compounds react with one another to form crystals that may block kidney function, researchers at the university said.",science/technology,entertainment,0.40843793749809265
This gives resolution almost four times that of a 35 mm negative (3136 mm2 versus 864).,science/technology,entertainment,0.6470639705657959
"Thanks to undersea fiber optic cable links to Europe and broadband satellite, Greenland is well connected with 93% of the population having internet access.",science/technology,entertainment,0.5718734264373779
"One of the most prominent apps in this category is Google Translate, which allows offline translation after downloading the desired language data.",science/technology,entertainment,0.8404960036277771
"It has the same molecular structure whether it is a gas, liquid, or solid.",science/technology,science/technology,0.7288938164710999
"The use of video recording has led to important discoveries in the interpretation of micro-expressions, facial movements which last a few milliseconds.",science/technology,entertainment,0.6096869111061096
Humans have been making and using lenses for magnification for thousands and thousands of years.,science/technology,entertainment,0.5580939650535583
"It isn’t alone though, experimentation, and an experiment is a test that is used to eliminate one or more of the possible hypotheses, asking questions, and making observations also guide scientific research.",science/technology,science/technology,0.4238184094429016
"Eventually, wooden wheels were replaced by iron wheels. In 1767, the first full-iron rails were introduced.",science/technology,entertainment,0.5994951725006104
"While most cards are good for calling anywhere, some specialise in providing favourable call rates to specific groups of countries.",science/technology,travel,0.6370887160301208
Most modern research telescopes are enormous facilities in remote areas with favorable atmospheric conditions.,science/technology,science/technology,0.6845771670341492
The steel needle floats on top of the water because of surface tension.,science/technology,entertainment,0.5079969167709351
"The 35mm format is actually, somewhat confusingly, 36mm in width by 24mm in height.",science/technology,entertainment,0.8481256365776062
"Cells are so basic and critical to the study of life, in fact, that they are often referred to as ""the building blocks of life"".",science/technology,science/technology,0.8466761112213135
Personal VPN (virtual private network) providers are an excellent way of circumventing both political censorship and commercial IP-geofiltering.,science/technology,entertainment,0.7290878891944885
"The station maintained its attitude, despite the loss of a gyroscope earlier in the space station mission, until the end of the spacewalk.",science/technology,entertainment,0.5498483180999756
"People with this type of thinking have logical thinking, are able to memorize patterns, solve problems and work on scientific tests.",science/technology,entertainment,0.6974566578865051
"Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.",science/technology,entertainment,0.49392035603523254
"Some medium-format film cameras use a 6 by 6 cm format, more precisely a 56 by 56 mm negative.",science/technology,entertainment,0.9380095601081848
Travellers are strongly advised to be aware of any risk of severe weather affecting their area as they may affect any travel plans.,travel,travel,0.4867649972438812
"Buses depart the inter-district bus station (across the river) throughout the day, though most, especially those heading to the east and Jakar/Bumthang leave between 06:30 and 07:30.",travel,travel,0.6410577297210693
They provide greater stability for the rider but can have safety concerns due to the potential for a rider's feet to get stuck in them.,travel,entertainment,0.2686441242694855
"Most of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.",travel,travel,0.7434240579605103
"The advice assumes that travellers do not steal, trespass, participate in the illegal market, beg, or otherwise exploit other people for their own gain.",travel,entertainment,0.47830256819725037
There are many things you have to take into consideration before and when you travel somewhere.,travel,travel,0.8752773404121399
"In the heat of the day, travelers can experience mirages that give the illusion of water (or other things).",travel,entertainment,0.6708918809890747
"Families with children are a rare sight, but some hostels do allow them in private rooms.",travel,entertainment,0.7935874462127686
"For example visiting castles in the Loire Valley, the Rhine valley or taking a cruise to interesting cites on the Danube or boating along the Erie Canal.",travel,travel,0.4851014316082001
It can be better to use an agent who frequently books similar trips to yours.,travel,travel,0.7862299680709839
Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.,travel,entertainment,0.6148022413253784
Student visas generally have different requirements and application procedures from normal tourist or business visas.,travel,travel,0.632349967956543
