index_id,category,text
993,entertainment,"Tuy nhiên, vào mùa đông, chúng mang một vẻ đẹp và nét quyến rũ khác với những khu nghỉ dưỡng trên núi đầy tuyết tạo điều kiện cho các hoạt động vui chơi như trượt tuyết."
755,entertainment,"Là nơi giới thượng lưu và nhà giàu lưu trú, những khách sạn này thường có nhà hàng và chương trình giải trí ban đêm đặc sắc."
1239,entertainment,"""Cô bé rất dễ thương và cũng hát khá hay, ông ta nói, theo bản ghi lại từ một buổi họp báo."""
871,entertainment,Hãy lấp đầy không gian ngôi nhà bạn với hương vị cà phê vào buổi sáng và một chút trà hoa cúc thư giãn vào ban đêm.
460,entertainment,Hầu hết TV đều được thiết kế theo hướng làm hài lòng công chúng.
431,geography,"Thổ Nhĩ Kỳ được bao quanh bởi các vùng biển ở ba phía: Biển Aegean về phía Tây, Biển Đen về phía Bắc và Biển Địa Trung Hải về phía Nam."
1692,geography,Những khu vực rộng lớn xa hơn về phía bắc có dân số khá thưa thớt và một số vùng gần như là đất hoang không có người ở.
743,geography,"Quần đảo Cook không có một thành phố nào mà bao gồm 15 hòn đảo, trong đó Rarotonga và Aituta là hai hòn đảo chính."
1720,geography,"Công viên có diện tích trên 19.500 km² và được chia thành 14 khu sinh thái khác nhau, mỗi khu là nơi ở của một hệ động vật hoang dã."
1622,geography,Sông Amazon là con sông lớn nhất và có chiều dài đứng hàng thứ hai trên Quả đất. Nó mang lượng nước nhiều gấp 8 lần lượng nước của con sông lớn thứ hai.
1205,health,"Danielle Lantagne, một chuyên gia của Liên Hiệp Quốc về căn bệnh này, nói rằng việc bệnh dịch bùng phát có thể là do lực lượng gìn giữ hòa bình gây ra."
1203,health,"Trước khi quân đội có mặt, Haiti không gặp phải các vấn đề liên quan đến bệnh này từ những năm 1800."
566,health,"Thị lực, hay khả năng nhìn thấy phụ thuộc vào các cơ quan thụ cảm trong hệ thống thị giác hay mắt."
1256,health,Thành phần của các tinh thể này khớp với những gì được tìm thấy trong nước tiểu của thú cưng bị mắc bệnh khi so sánh bằng quang phổ hồng ngoại (FTIR).
1578,health,Kiếm tra nhãn dán để biết hướng dẫn sơ cứu cụ thể cho chất độc cụ thể.
1936,politics,"Vào năm 1994, cuộc xung đột đã dẫn tới việc thành lập Cộng hòa Transnistria tự xưng ở phía Đông Moldova, nơi có chính phủ và tiền tệ riêng nhưng không được công nhận bởi bất kỳ quốc gia thành viên Liên Hợp Quốc nào."
280,politics,"Những người tổ chức cuộc biểu tình nói rằng có khoảng 100.000 người đã tham gia ở khắp các thành phố của Đức như Berlin, Cologne, Hamburg, và Hanover."
247,politics,Những cơ quan này chịu trách nhiệm cung ứng các dịch vụ hành pháp và tư pháp theo Điều 247 của Hiến Pháp Pakistan.
1439,politics,"Sau khi chiến sự nổ ra, nước Anh đã triển khai phong tỏa ngay hải quân Đức."
18,politics,"Biểu tình nổ ra trên toàn thế giới, một số vụ truy tố hình sự và các nhà lãnh đạo của chính phủ Iceland và Pakistan đều đã từ chức."
403,science/technology,"Vào thời điểm bắt đầu cuộc chiến, hầu hết họ đều đi trên mặt biển, nhưng khi máy ra đa bắt đầu phát triển và trở nên chính xác hơn, các tàu ngầm buộc phải đi dưới mặt nước để tránh bị phát hiện."
1592,science/technology,"Khi sự hiểu biết về Hy Lạp suy tàn, phương Tây nhận thấy mình bị cắt đứt khỏi nguồn gốc triết học và khoa học Hy Lạp."
1344,science/technology,Ion hydro là proton đã bị loại bỏ electron (vì nguyên tử hydro bao gồm một proton và một electron).
556,science/technology,Nguyên tử có thể được xem là nền tảng cơ bản của mọi vật chất.
1645,science/technology,Giống như đẩy một chiếc xe hàng nặng nề lên đồi. Phân nhân một lần nữa và sau đó giải phóng một phần năng lượng đó.
555,sports,Vận động viên có thể cảm thấy thích một sản phẩm nào đó ngay cả khi nó không mang lại lợi ích nào.
195,sports,Massa phải ngồi ngoài ít nhất là hết mùa giải 2009.
553,sports,"Chạy cự ly trung bình là một môn thể thao tương đối rẻ. Tuy nhiên, hiện có nhiều cách hiểu sai về những thiết bị cần thiết cho việc tham gia bộ môn này."
32,sports,"Khi những chiếc xe phía trước phải vào nạp nhiên liệu theo lệnh của xe bảo đảm an toàn, Alonso đã vượt lên để giành chiến thắng."
13,sports,Nadal bỏ túi 88% số điểm lên lưới trong trận đấu thắng 76 điểm trong lượt giao bóng đầu tiên.
688,travel,Những du khách không có nhiều thời gian nên đến một nơi khác.
1764,travel,"Ngoài ra, hãy chú ý đến mùi có thể thu hút gấu và các loài thú hoang dã khác, do đó hãy tránh mang theo hoặc nấu những thực phẩm có mùi và giữ gìn vệ sinh quanh khu vực cắm trại."
1785,travel,Việc đặt phòng trước giúp du khách yên tâm rằng họ sẽ có nơi nghỉ chân khi đã đến nơi.
1941,travel,"Thành phố này mang trong mình bầu không khí của khu vực Địa Trung Hải nhiều hơn là Thổ Nhĩ Kỳ truyền thống với những đại lộ lớn, những toà nhà kính cùng những trung tâm mua sắm hiện đại được điểm xuyết bằng những mái tôn đỏ truyền thống, khu chợ từ thế kỷ 18 hay những nhà thờ Hồi giáo và nhà thờ cổ."
996,travel,"Trong mọi trường hợp, bạn phải gọi điện đặt trực tiếp với hãng bay."
