index_id,category,text
993,entertainment,"Kadi, bitu ni buimpe ni bulenga bua pabuawu mu hiver, ni kuimana kua pa mikuna mu kupeta bunyi bukumbane bua neje ni bifila mazaba a ski ni kuendela pa neje."
755,entertainment,Bilala benyi ebi bivua biakidila babanji ni bantu bamanike ba mu tshikondo atshi ni bavua benza ma restoran a bukalanga ni malu a butuku.
431,geography,"Turquie munyunguluila kudi tuabukonyi pa nseke yisatu: kabukonyi Aegean ku luseke lua kudi diba dibuela, kabukonyi ka mayi Black ku node ne kabukonyi ka ku méditerranée ku side."
1692,geography,Miaba minene ku nord kayena ni bantu babunyi mikuabu idi bisuku kamuyi bantu.
1205,health,"Danielle Lantagne, mumanyi wa masama wa ONU, wakamba disama divua diledibua kua bantu ba mudimu wa kulama ditalala."
1203,health,"Kumpala kua basalayi kufikabu, Haiti kavua ye mupeta ntatu idi intangila masama to katshia ku 1800."
1936,politics,"Mu 1994, mvita eyi ivua mifikishe ku difuka dia ditunga di diangatshila dia Transnistrie ku est kua Moldova, dikale ni bulombodi ni makuta ende kadi ka diyi dimanyike kudi ditunga nansha dimue dia Etats-Unis."
280,politics,"Bavua kabayi bitabe bavua bambe ne bantu 100,000 bavu bafila mu Allemagne, mu misoko bu Berlin, Cologne, Hamburg, ni Hanover."
403,science/technology,"Kutshibagilu kwa mvita bavua benda pa mutu pa mbuu, kadi nasha pavua ma radara mibanga mitanda ne milwa ya mushinga mazuwa a mwishi mwa mayi owu kumbagiwu kuya mwishi ma mayi bua kabayimonyi."
1592,science/technology,"Adi dimanya dia bena jelika diweka, matunga a ku mputu adi adi sangana ma koshibua kumija ya dimanya dia bena jelika."
555,sports,Ba Athlète badi mua kujinga tshintu nansha tshiotshi katshiyi ne dikuatshisha dia nsongu.
195,sports,Massa udi ni tsha kuikala pambelu bua tshikondo tsha mazaba tshidi tshishale.
688,travel,Bena luendu badi ni meba mabala ni benze bimpe bua kupitisha meba abu miaba mikuabu.
1764,travel,"Kusakidila apu, umanya ne pibembe bidi bikila ba ours ne nyama mikuabu ya tshisuku, ke bualu epuka kuya nyi anyi kulamba biakuja ne kulama tshitujilu."
