index_id,category,text
993,entertainment,"परंतु, हिवाळ्यात त्यांच्याकडे एक भिन्न सौंदर्य आणि आकर्षकपणा असतो, अनेक गिरीस्थानांवर भरपूर प्रमाणात बर्फ पडतो आणि स्किईंग आणि स्नोबोर्डींगसारखे खेळ खेळायला मिळतात."
755,entertainment,ही हॉटेल्स अशी होती जिथे दिवसा श्रीमंत आणि प्रसिध्द लोक राहत असत आणि अनेकदा उत्तम जेवण आणि नाईटलाइफ देखील उपलब्ध असत.
431,geography,"तुर्कस्थान ला 3 बाजूनी समुद्रांनी वेढले आहे: पश्चिमेस एजियन समुद्र, उत्तरेस काळा समुद्र आणि भूमध्य सागर समुद्र दक्षिणेला."
1692,geography,उत्तरेकडे आणखी पुढे लोकसंख्या अतिशय विरळ आहे आणि त्यातील काही भाग निर्जन जंगलाचा भाग आहे.
1205,health,"संयुक्त राष्ट्रांचे या रोगाचे तज्ज्ञ, डॅनिअल लॅन्टॅग्ने म्हणाले की उद्रेक शांततादुतांद्वारे झालेला असू शकतो."
1203,health,"सैनिक येण्यापूर्वी, हैतीला 1800 पासून या रोगाशी संबंधित समस्या उद्भवल्या नव्हत्या."
1936,politics,"1994 मध्ये हा विवाद मोल्दोवा मध्ये स्वयंघोषित ट्रान्सनिस्त्रीया प्रजासत्ताक निर्माण करण्यास कारणीभूत झाला, ज्याकडे आपले स्वत:चे शासन आणि चलन आहे परंतु कोणत्याही यूएन सदस्य देशाने यास मान्यता दिलेली नाही."
280,politics,"निषेधाच्या आयोजकांनी सांगितले की बर्लिन, कोलोन, हॅम्बर्ग आणि हॅनोवर अशा जर्मन शहरांमध्ये सुमारे 100,000 लोकं आले होते."
403,science/technology,"युद्धाच्या आरंभी त्यांनी बहुतांशी समुद्रावरुनच प्रवास केला, परंतु रडारचा विकास झाला आणि ते अधिक अचूक झाल्यानंतर नजरेस पडणे टाळण्याकरिता पाणबुड्यांना पाण्याखाली जाणे भाग पडले."
1592,science/technology,"जसे ग्रीकांचे ज्ञान ओसरले, तेव्हा पश्चिमेला हे लक्षात आले की ते ग्रीक तत्वज्ञान आणि शास्त्र यांच्या मूळापासून तोडले गेले आहेत."
555,sports,खेळाडूंना असे वाटू शकते की ते एखाद्या अशा उत्पादनास प्राधान्य देतात ज्यामुळे कोणतेही वास्तविक फायदे मिळत नाहीत.
195,sports,2009 सिझनच्या उर्वरित भागांमध्ये मस्सा बाहेर पडणार आहे.
688,travel,मर्यादित वेळ असणारे भेट देणारे हे त्यांचा वेळ कुठेतरी घालवण्यासाठी सर्वोत्तम
1764,travel,"याव्यतिरिक्त, अस्वले आणि इतर वन्य प्राण्यांना आकर्षित करणाऱ्या वासापासून सावध रहा, म्हणून शिजवलेले सुवासिक अन्न नेणे टाळा आणि कॅम्प स्वच्छ ठेवा."
