text,translated_text
"Movinduku mongelaa kivathukany'o kya njini, unyuvi naw'o wivetangaa vala ve nguthu isu ya movinduku.","Kamba: Movinduku mongelaa kivathukany'o kya njini, unyuvi naw'o wivetangaa vala ve nguthu isu ya movinduku. 
English: A: Aiming to make a good use of the time"
Mbomu ya Fission uthukumaa na nzia ya vinya wa nucleus vamwe na protons na neutrons syakwatanw'a.,"Kamba: Mbomu ya Fission uthukumaa na nzia ya vinya wa nucleus vamwe na protons na neutrons syakwatanw'a. 
English: A proton and a neutron are two particles that are in a nucleus."
Nucleus yĩthĩawa na ilungu ilĩ - neurons na protons.,"Kamba: Nucleus yĩthĩawa na ilungu ilĩ - neurons na protons. 
English: Nucleus: a chemical element"
Kii ni kitonyethyete lenzi sya kuthengeesya syindũ syũmya visa nzeo kũte ila syitakunitwe na lenzi ya kuthengeesya syindu.,"Kamba: Kii ni kitonyethyete lenzi sya kuthengeesya syindũ syũmya visa nzeo kũte ila syitakunitwe na lenzi ya kuthengeesya syindu. 
English: A visa: A form of travel that allows you to enter a country without a visa."
"Syi kiwango kiyiulu kwi kompyuta muvai wa prokisi: Nitumaa ingi mauvoo asu ngali syi kivathyukany'o, ti http yoka.","Kamba: Syi kiwango kiyiulu kwi kompyuta muvai wa prokisi: Nitumaa ingi mauvoo asu ngali syi kivathyukany'o, ti http yoka. 
English: The other part: The other part of the http protocol: the http header"
Ndisaini ya mituki yendaa ukasisya ingi ngewa ite na uw'o iulu wa ivindi sya kumya maumoo na kumanya kwisilya nziani syi kivathukany'o.,"Kamba: Ndisaini ya mituki yendaa ukasisya ingi ngewa ite na uw'o iulu wa ivindi sya kumya maumoo na kumanya kwisilya nziani syi kivathukany'o. 
English: A: A."
kĩĩ kyatwĩkĩe kĩndũ kya kĩla ĩvĩnda onakaũ ĩ kyũma kyatũmaa ndĩa sya makasya ĩthela.,"Kamba: kĩĩ kyatwĩkĩe kĩndũ kya kĩla ĩvĩnda onakaũ ĩ kyũma kyatũmaa ndĩa sya makasya ĩthela. 
English: The following is a list of the most common types of car accidents."
"Nguthu ya minyambu yithiawa na munyambu umwe kuvika itatu miume, vamwe na minyambu mika o ta miongo itatu na twana twayo.","Kamba: Nguthu ya minyambu yithiawa na munyambu umwe kuvika itatu miume, vamwe na minyambu mika o ta miongo itatu na twana twayo. 
English: Sight: a single light in a city"
"Ona vala AI ni yisikie mũno kwa saienzi syite sya wo, AI ni isevitye ũvonge wa vata mũno wa saienzi ya kombyuta ya mikanilye, kusoma na ũi wa maasini.","Kamba: Ona vala AI ni yisikie mũno kwa saienzi syite sya wo, AI ni isevitye ũvonge wa vata mũno wa saienzi ya kombyuta ya mikanilye, kusoma na ũi wa maasini. 
English: AI: a new type of machine learning"
Aspect ratio ivangitwe uu (kuaany'a na ikumi na ili ni kenda ukwate namba ikwatene ya ratio) ila yailwe ithwa yi 3:2.,"Kamba: Aspect ratio ivangitwe uu (kuaany'a na ikumi na ili ni kenda ukwate namba ikwatene ya ratio) ila yailwe ithwa yi 3:2. 
English: The aspect ratio: (3.2)"
"Simu ya setilaiti ti yotumiwa vandu va simu ya ukua, nundu no nginya withwe wi nza vandu wene I setilaiti nesa nikenda ukune simu.","Kamba: Simu ya setilaiti ti yotumiwa vandu va simu ya ukua, nundu no nginya withwe wi nza vandu wene I setilaiti nesa nikenda ukune simu. 
English: Sprint: Sprinting is a form of commute, a form of commuting, a form of commuting"
"O na kau nzia sya milau syai o na iting'I sya miti ivangitwe vamwe, nisyetikilasya mbalasi ila simikuusitye kuvikiia mituki mbingi na kukua miio minene leluni ila syai nthuku munango ivindani yiu.","Kamba: O na kau nzia sya milau syai o na iting'I sya miti ivangitwe vamwe, nisyetikilasya mbalasi ila simikuusitye kuvikiia mituki mbingi na kukua miio minene leluni ila syai nthuku munango ivindani yiu. 
English: The following is a list of the different types of trees that can be found in a city:"
"Andu nimesi iulu wa syindu syakemikoo ila itee muo ta thaavu, vetha, na kĩaa kuma tene vyu, tondu ii syonthe no sikwatikane nthini wa syindu mbumbe sya kila muthenya syi sya ntheu vyu na ni mbuthangu kuseuvithya na miio itai myongele maundu maingi.","Kamba: Andu nimesi iulu wa syindu syakemikoo ila itee muo ta thaavu, vetha, na kĩaa kuma tene vyu, tondu ii syonthe no sikwatikane nthini wa syindu mbumbe sya kila muthenya syi sya ntheu vyu na ni mbuthangu kuseuvithya na miio itai myongele maundu maingi. 
English: The only way to get a real sense of the culture of a country is to go there, to the city, to the market, to the market place, to the café, to the bar, to the restaurant, to the coffee shop, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar, to the bar"
Ndia nisenzetye nthi yonthe kwa nzia mbailu. Undu munene ndia itutethetye ni kwisila kwithwa na ukui wi laisi na wa mitukí.,"Kamba: Ndia nisenzetye nthi yonthe kwa nzia mbailu. Undu munene ndia itutethetye ni kwisila kwithwa na ukui wi laisi na wa mitukí. 
English: The world is a very small part of the human body. We are all made of a very small part."
Kii kikawa kuikiithya kana ivisa yu niyausua kioo kiima. Kii nikyo kitawa overscan.,"Kamba: Kii kikawa kuikiithya kana ivisa yu niyausua kioo kiima. Kii nikyo kitawa overscan. 
English: I am a foreigner, I do not have a visa."
Meli sya Germany syeetawa U-boat. Andu ma Germany ni matembeaa kiwuni nesa na nimatwaa meli syoo nesa.,"Kamba: Meli sya Germany syeetawa U-boat. Andu ma Germany ni matembeaa kiwuni nesa na nimatwaa meli syoo nesa. 
English: The U-boat is a U-boat. Germany is a small country."
"O na kwithw'a mumbo wayo ula twonaa no uvinduke, umbo wa kemikoo nduvindukaa.","Kamba: O na kwithw'a mumbo wayo ula twonaa no uvinduke, umbo wa kemikoo nduvindukaa. 
English: The main point: the only way to be a good writer is to be a good storyteller."
vĩnya wa kĩw'ũ wĩthĩawa wĩmũlũmũ nũndũ kĩw'ũ kĩthĩawa kĩkwatanĩte mũno kũteũndũ kĩkwatanĩte na nzeve yĩũlũ wa kyo.,"Kamba: vĩnya wa kĩw'ũ wĩthĩawa wĩmũlũmũ nũndũ kĩw'ũ kĩthĩawa kĩkwatanĩte mũno kũteũndũ kĩkwatanĩte na nzeve yĩũlũ wa kyo. 
English: The point: the time of day"
Kĩmwe kya mathĩna ala methĩawa mũno ĩla mũndũ ũkũvĩndũa movĩe kũthĩ kwa DVD nĩkũvĩndũa mala maĩngĩ.,"Kamba: Kĩmwe kya mathĩna ala methĩawa mũno ĩla mũndũ ũkũvĩndũa movĩe kũthĩ kwa DVD nĩkũvĩndũa mala maĩngĩ. 
English: DVD: a form of record, which is a form of film"
"Kwa mwanya, kwiawa kana mundu no amanye kana mundu nukukengana kwisila kusoma wonekano wake vate kuvitya.","Kamba: Kwa mwanya, kwiawa kana mundu no amanye kana mundu nukukengana kwisila kusoma wonekano wake vate kuvitya. 
English: The word ""word"" is a form of writing, and the word ""word"" is a form of writing."
Thaavũ no ĩseũvwe myũmbĩle kĩvathũkangany'o. No ĩthiuukw'e ĩkatwĩka maũmbo manini.,"Kamba: Thaavũ no ĩseũvwe myũmbĩle kĩvathũkangany'o. No ĩthiuukw'e ĩkatwĩka maũmbo manini. 
English: The man: I am a doctor."
"Sisitemu ya AI nitumiawa yu miveani ya ukwati, uiiti, engyiniaring na usikalini, yakitwe kompyutani sya misyini na mathau ma vitio.","Kamba: Sisitemu ya AI nitumiawa yu miveani ya ukwati, uiiti, engyiniaring na usikalini, yakitwe kompyutani sya misyini na mathau ma vitio. 
English: AI: a computer science and technology"
"Niseuvaw'a nginya umunthi, ateo kila ki vata muno ni uaany'o wa leshoo ula umitw'e kwa kamela sya muthemba wa ndingyitol ila isenziaa ivisa.","Kamba: Niseuvaw'a nginya umunthi, ateo kila ki vata muno ni uaany'o wa leshoo ula umitw'e kwa kamela sya muthemba wa ndingyitol ila isenziaa ivisa. 
English: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A year: A"
Mwiao wa imwe iulu wa itatu ula niw'o mutumie nai na kuvuthw'a vyu ni wolooti muvuthu useuvitye uvuthu wa kualyuuka na ivinda o uendee na kwiia kithimo kya visani.,"Kamba: Mwiao wa imwe iulu wa itatu ula niw'o mutumie nai na kuvuthw'a vyu ni wolooti muvuthu useuvitye uvuthu wa kualyuuka na ivinda o uendee na kwiia kithimo kya visani. 
English: Aim: to make a living by caring for the environment"
"Ii yionania tu kana ndainosa imwe swai na mawia, ngewa syisikie mũno indi ni syinenganaa uvoo mavindi makũu ma ndainosa matonania kwa ngelekany'o langi na undũ mavangitwe.","Kamba: Ii yionania tu kana ndainosa imwe swai na mawia, ngewa syisikie mũno indi ni syinenganaa uvoo mavindi makũu ma ndainosa matonania kwa ngelekany'o langi na undũ mavangitwe. 
English: The other side: You can be a very good cook, but you can also be a very bad cook, and you can be a very good chef, and you can be a very bad chef."
"Vinya wa Io, utonya kungusya ata? Ukaelya kuungama iulu wa Io, uito waku wailite kwithiwa wi munini mbee wa uito waku wi kuu nthi.","Kamba: Vinya wa Io, utonya kungusya ata? Ukaelya kuungama iulu wa Io, uito waku wailite kwithiwa wi munini mbee wa uito waku wi kuu nthi. 
English: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E: E:"
NextGen ni walany'o FAA ikwasya ni uketikithya ndeke kwisila nzia nguvi na kũsuvia mauta ma ndeke kila mwaka na kũtulia kũmya makaa (carbon).,"Kamba: NextGen ni walany'o FAA ikwasya ni uketikithya ndeke kwisila nzia nguvi na kũsuvia mauta ma ndeke kila mwaka na kũtulia kũmya makaa (carbon). 
English: NextGen: The FAA is now in the process of developing a new generation of aircraft that is more efficient and will be more carbon neutral in the long run."
Ũvoo yĩũlũ wa ũndũ ĩlũngĩ ya nĩnĩ vyũ ĩseũvĩtye mwĩĩ nĩnengatĩte ũtonyĩ wa kũkũnĩkĩla ũndũ andũ matonyaa kũelewa nĩ syĩndũ na kwĩka. Kwooũ nĩ nĩyĩolete wĩa mwĩngĩ wa kũkũnĩkĩla yĩũlũ wa ũndũ ũsũ na kũtonyenya kũnenganya maũndũ me na ũw'o mwĩngĩ.,"Kamba: Ũvoo yĩũlũ wa ũndũ ĩlũngĩ ya nĩnĩ vyũ ĩseũvĩtye mwĩĩ nĩnengatĩte ũtonyĩ wa kũkũnĩkĩla ũndũ andũ matonyaa kũelewa nĩ syĩndũ na kwĩka. Kwooũ nĩ nĩyĩolete wĩa mwĩngĩ wa kũkũnĩkĩla yĩũlũ wa ũndũ ũsũ na kũtonyenya kũnenganya maũndũ me na ũw'o mwĩngĩ. 
English: The person is a learner, and the process of learning is a process of learning."
"Aendee na ũneeni wake wa masaa eli aisye atii “ũmunthi Apple nikuvindua undu simu iseuvaw'a, nitukuvindua isitolia umunthi.","Kamba: Aendee na ũneeni wake wa masaa eli aisye atii “ũmunthi Apple nikuvindua undu simu iseuvaw'a, nitukuvindua isitolia umunthi. 
English: Apple: We are going to launch a new version of the Apple iPod, a new type of mobile device."
