text,actual_category,predicted_category,confidence
ការ​ផ្លាស់ប្តូរ​ហ្សែន បន្ថែមនូវ​បម្រែបម្រួល​ហ្សែន​ថ្មី ហើយការជ្រើសរើសនេះបានយកវាចេញពីក្រុមនៃ​បម្រែបម្រួលដែលបានបង្ហាញឡើង។,science/technology,entertainment,0.3599059283733368
គ្រាប់​បែក​ហ្វីសសិន មាន​ដំណើរ​ការ​តាម​គោលការណ៍​ដែល​វា​បង្កើត​​ថាម​ពល​ដោយ​រួម​បញ្ចូល​គ្នា​នូវ​នុយក្លេអ៊ែ​មួយ​ជាមួយ​នឹង​ប្រូតុង​ និង​ណឺត្រុង​។,science/technology,entertainment,0.2046731412410736
ស្នូលកោសិកា nucleus មានពីរភាគគឺណឺត្រុងនិងប្រូតុង។,science/technology,politics,0.3655114769935608
ការនេះបានធ្វើឱ្យលែនពង្រីកនៃម៉ាស៊ីនថត ថតបាននូវរូបភាពដែលមានគុណភាពល្អបើធៀបទៅនឹងរូបថតដែលបានថតដោយប្រើម៉ាស៊ីនថតដែលគ្មានលែនពង្រីក។,science/technology,health,0.25934672355651855
ពួកវាមានលក្ខណៈលើសពីសេវាប្រហ្គស៊ី (proxies) របស់គេហទំព័រដោយសារមូលហេតុមួយចំនួន៖ ពួកវារៀបចំបណ្តាយផ្លូវអ៊ីនធឺណិតឡើងវិញ មិនត្រឹមតែបណ្តាញ http តែមួយនោះទេ។,science/technology,entertainment,0.27112993597984314
ការ​រចនា​អន្តរកម្ម​ទាមទារ​ឱ្យ​អ្នក​វាយតម្លៃ​ការ​សន្មត​របស់​អ្នក​ឡើង​វិញ​អំពី​ការផលិត​ប្រព័ន្ធ​ផ្សព្វផ្សាយ និង​រៀន​គិត​ក្នុង​របៀប​ដែល​មិនមែន​កើត​ឡើង​ជា​ប្រក្រតី។,science/technology,entertainment,0.37745198607444763
នេះបានក្លាយជាទម្លាប់ធម្មតាប៉ុន្តែដែកបានបំផ្លាញដោយវាជ្រេសស៊ីកង់ឈើរបស់រទេះ។,science/technology,entertainment,0.3135767877101898
មួយក្រុមគ្រួសារសត្វត្រូវបានបង្កើតឡើងដោយមានសមាជិកសត្វឈ្មោលពេញវ័យដែលមានទំនាក់ទំនងនឹងគ្នាពីមួយទៅបីក្បាលរួមជាមួយសត្វញីនិងកូនតូចរបស់វាចំនួនសាមសិបក្បាល។,science/technology,sports,0.2589298486709595
បើ​ទោះ​បី​ជា​ AI មាន​ការកំណត់​ន័យ​ខ្លាំងទៅ​លើ​ប្រលោម​លោក​វិទ្យាសាស្រ្ត​ក៏​ពិត​មែន​ ក៏​ប៉ុន្តែ​ AI បង្កើត​បាន​ជា​មែក​ធាង​យ៉ាង​សំខាន់មួយ​នៅ​ក្នុងផ្នែក​វិទ្យាសាស្រ្តកុំព្យូទ័រ​ ដោយ​ធ្វើ​ការ​សិក្សា​ពី​ការ​សម្របសម្រួល​ដល់​ផ្នែក​អាកប្បកិរិយា ការ​សិក្សា​រៀន​សូត្រ​ និង​បញ្ញាញាណ​នៅ​ក្នុង​ម៉ាស៊ីន​។,science/technology,entertainment,0.4320145547389984
សមាមាត្រនៃទ្រង់ទ្រាយនេះ (ចែកនឹង​ដប់ពីរ​ដើម្បីទទួលបាន​សមាមាត្រលេខគត់ដែលងាយបំផុត) ត្រូវបានគេហៅថា 3: 2 ។,science/technology,sports,0.22067692875862122
