index_id,category,text
993,entertainment,"Paa mbʋ yɔ awɛna keɖeɣa nɩ kajʋka ŋga kɛwɛ ndɩ yɔ nikaɣ alɩwaatʋ taa, nɛ ɖɩnaɣ pʋŋ ɖɩsɩŋɩyɛ sakɩyɛ nɖɩ ɖɩ-taa ɖɔmbɛ tɔlʋʋ sakɩyɛ, nɩ papɩzɩɣ nɛ pala aleɣya sakɩyɛ ɛzɩ sikii nɛ ɖɔmbɛ taa kpoŋkpolonaa tuu mbʋ yɔ."
755,entertainment,agɔma ɖɩsɩ nzɩ sɩ-taa alɩwaatʋ ndʋ tɩ-taa ñɩmdɩnaa nɛ caa akele waa sʋwaɣ. Nabʋyʋ taa pɩlakaɣ tɔɔnasɩ nzɩ pacatɩ camɩyɛ yɔ nɛ ɛyaa cakaɣ ɖoho taa wezuu peeɖe.
431,geography,"Teŋgunaa cɔ Turikii hɔɔlɩŋ naadozo nɛ pɩ-taa : Ejee Teŋgu wɩsɩ ɖɩɖʋyɛ taa, Teŋgu Kɩkpɛɛdʋʋ hayo kiŋ nɛ Mediteraanee Teŋgu hadɛ kiŋ."
1692,geography,"Eyaa ɖɔ sakɩyɛ hayɩ yɔɔ polɩŋ taa tɛtʋ taa nɛ hɔlɩŋ tɛtʋ ndʋ ɛyaa tabasɩ tɩtaa caɣʋ yɔ, tʋʈʋ ñɛwɛɛ ɖɔɖɔ."
1205,health,"Danielle Lantagne weyi ɛkɛ ONU lɔŋsɩnɖʋ sɔsɔ kʋdɔmɩŋ nʋmɔʋ taa yɔ, ɛyɔɔdaa se pɩtʋʋ fɛyɩ se laŋhɛzɩyɛ yɔɔ kandɩyaa cɔlɔ kʋdɔŋ lɩnaa."
1203,health,"Pʋcɔ nɛ sɔɔjanaa mba patalɩɣ lɛ, Hayiiti taakatɩ tɩlasɩ nasɩyɩ kʋdɔŋ nʋmɔʋ taa kpaɣnɩ pɩnzɩ 1800 taa."
1936,politics,"Pɩnaɣ 1994 taa, you ŋgʋ kiyeba nɛ ɛjaɖɛ nɖɩ payaɣ se Transinisitrii yɔ, ɖɩñɔ ɖɩ-tɩ yɔɔ Mɔlɩdavii wɩsɩ ɖɩlɩyɛ taa, ɖɩwɛnɩ ɖɩ-maɣmaɣ ɖi-komina nɛ ɖi-liidiye, ɛlɛ ajɛya wena awɛ ONU ɛgbɛyɛ taa yɔ a-taa naɖɩyɛ tɩñɩɣ nesi se ɖɩsɩm-ɖɩ."
280,politics,"Mba pɔñɔɔzɩ apɩɣya ɖɔnɛ nɖɩ yɔ pɔyɔɔdaa se ɛyaa ɛzɩ 100 000 kaalɩ Caama tɛtʋ sɔsɔtʋ ɛzɩ  tʋnɛ tɩ-taa yɔ : Pɛrlɛɛ, Kolɔɔñɩ, Hambuuri nɛ Hanovrɩ."
403,science/technology,"You paɣzaa lɛ, pa-taa sakɩyɛ ɖɔŋaɣ teŋgu yɔɔ, ɛlɛ papaɣzɩ radar waa lɩzʋʋ nɛ pakpaɣ ɖoŋ lɛ, pɩɩkɛnɩ kɩjɛyʋʋ suumaarɛɛwaa se pɔɖɔ lɩm tɛɛ nɛ pataapɩzɩ nɛ pana-wɛ."
1592,science/technology,"Ezɩma mbʋ Ansayɩɩna  yeba Grɛɛkɩ ñɩma lɔŋ tʋmɩyɛ labɩnaɣʋ lɛ, ansayɩɩ pɩsa pana se patɩtasɩ wɛnaʋ Grɛɛkɩ lɔŋsɩɖɛ nɛ lɛɣtʋ tɔm wɛnaʋ nɛ patɩtaasɩ wɛʋ pepɩlɩmɩyɛ ƴɔɔ wɛʋ."
555,sports,Mba peseɣ yɔ papɩsɩɣ pɔsɔɔlɩ wondu na natʋyʋ ɛlɛ wondu ndu tɩɩsɩŋnɩ-wɛ paa ñɩɩ nabʋyʋ taa.
195,sports,Massa ɛɛkaɣ tasʋʋ seya labʋ pɩkɩlaa yɔ pɩnaɣ 2009 alɩwaatʋ  ndʋ tɩkazaa yɔ tɩ-taa.
688,travel,"Akɔmaa mba pɛfɛyɩ-nɩ aliwaatʋ, pɩwɛ kɛsɛ pɩkɩlɩ yee powoba ɖe-lɛŋdɛ se pekilimi pɛsɛ yɔɔ."
1764,travel,"Pɩtasɩ lɛ, ɩtɩlɩ se sɔzɩŋ ndɩ ndɩ hɔŋ kpemtɔyasɩ nɛ tɛtɛgbɩna lɛɛna. Yee mbʋ ɩtaatɩzɩ yaa ɩtaaɖɔkɩ mɩ-yɔɔ tɔɔnasɩ nzɩ sɩlɩɣ sɔzɩŋ yɔ, nɛ ɩhazɩ mɩ-pɩlʋʋ taa cɩɖɩ cɩɖɩ."
