text,actual_category,predicted_category,generated_text
"Kusintha kwa mathupi gha vilengiwa kukupangiska kuti pasazgikire majini ghaphya ghakupambanapambana, ndipo ghanyake ghakumara chifukwa cha kuchepa nkhongono.",science/technology,N/A,"""Kusintha kwa mathupi gha vilengiwa kukupangiska kuti pasazgikire majini ghaphya ghakupambanapambana, ndipo ghanyake ghakumara chifukwa cha kuchepa nkhongono."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: A) Science, technology, travel, politics,"
Bomba la mtundu wa fission likugwira nchito pakulondezga fundo yakuti khongono zinandi zikukhumbika kuti paŵe nyukiliyasi iyo yili na ma protons kweniso ma neurons ghanandi.,science/technology,N/A,"""Bomba la mtundu wa fission likugwira nchito pakulondezga fundo yakuti khongono zinandi zikukhumbika kuti paŵe nyukiliyasi iyo yili na ma protons kweniso ma neurons ghanandi."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: 1) Science 2) Travel 3) Politics 4"
Nyukiliyasi yili na vigaŵa viŵiri - manyutuloni na mapulotoni.,science/technology,politics,"""Nyukiliyasi yili na vigaŵa viŵiri - manyutuloni na mapulotoni."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: politics.
The sentence describes a number of different kinds"
Ivi vyachitisa kuti magalasi ghakukuzgira vinthu ghafumiskenge vithuzi vyakuwoneka makola vakuyana na vithuzi vya magalasi agho ghakukuzga vithuzi chara.,science/technology,N/A,"""Ivi vyachitisa kuti magalasi ghakukuzgira vinthu ghafumiskenge vithuzi vyakuwoneka makola vakuyana na vithuzi vya magalasi agho ghakukuzga vithuzi chara."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: The correct answer is no. The correct answer for"
"Makampani agha ngawemi comene kujumpha ma kampani gha mkhala pakati wa pa intaneti pa vifukwa vinandi: ghakusintha nthowa ya umo vinthu pa intaneti vikwendera, kusazgirapo pa http.",science/technology,politics,"""Makampani agha ngawemi comene kujumpha ma kampani gha mkhala pakati wa pa intaneti pa vifukwa vinandi: ghakusintha nthowa ya umo vinthu pa intaneti vikwendera, kusazgirapo pa http."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: Politics, Politics, Politics, Politics, Politics,"
Kupanga mauthenga ya kompyuta yakugwiriskika ntchito na ŵanthu vikukhumbika kughanaghana kaŵiri kukwaskana na ivyo ukusachizga pa kujambura mauthenga kweniso kusambira kuganiza mwa nthowa zose kuruska kughanaghana mu nthowa yimoza.,science/technology,N/A,"""Kupanga mauthenga ya kompyuta yakugwiriskika ntchito na ŵanthu vikukhumbika kughanaghana kaŵiri kukwaskana na ivyo ukusachizga pa kujambura mauthenga kweniso kusambira kuganiza mwa nthowa zose kuruska kughanaghana mu nthowa yimoza."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science/technology, travel, politics, sports,"
"Ici cikazgoka cizgoŵi, kweni nthowa za visulo izi zikacitiskanga kuti matayala gha vikochikali, agho ghakaŵanga gha chikuni, ghamalenge luŵiro.",science/technology,health,"""Ici cikazgoka cizgoŵi, kweni nthowa za visulo izi zikacitiskanga kuti matayala gha vikochikali, agho ghakaŵanga gha chikuni, ghamalenge luŵiro."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: all categories, except health.
For the second part"
"Mu Genge la nkharamu mukuŵa nkharamu zilara zanalume kwambira pa yimoza mpaka zitatu izo pakuŵa paubali, kweniso nkharamu zanakazi zingakwana makhumi ghatatu ndiposo twana.",science/technology,sports,"""Mu Genge la nkharamu mukuŵa nkharamu zilara zanalume kwambira pa yimoza mpaka zitatu izo pakuŵa paubali, kweniso nkharamu zanakazi zingakwana makhumi ghatatu ndiposo twana."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: political/military, sports, arts, religion"
"Nangawuli Al wakung'anamulaso vidokoni vyakukhwaska sayansi, Al ngwakuzirwa comene ku nkhani za makina gha kompyuta pakuwona vinthu vya nkharo, kusambira na kumanya kusintha mukaŵiro na kagwiriro ka nchito mu makina.",science/technology,N/A,"""Nangawuli Al wakung'anamulaso vidokoni vyakukhwaska sayansi, Al ngwakuzirwa comene ku nkhani za makina gha kompyuta pakuwona vinthu vya nkharo, kusambira na kumanya kusintha mukaŵiro na kagwiriro ka nchito mu makina."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: culture, art, history, natural and cultural heritage"
Kukolerana kwa ufupi na utali kwa chithuzi cha ukuru uwu (kugaŵa na 12 kuti tisange kukolerana kwa manambala yachoko chomene) ntheura ni 3:2.,science/technology,science/technology,"""Kukolerana kwa ufupi na utali kwa chithuzi cha ukuru uwu (kugaŵa na 12 kuti tisange kukolerana kwa manambala yachoko chomene) ntheura ni 3:2."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science/technology (e.g. science/t"
"Phone yakwendera nkhongono ya setilayiti kuti yikunjira mumalo gha foni ya netiweki cara, cifukwa pakukhumbika kuti munthu uwe pawalo kuti foni yako yithyeskane na satelayiti.",science/technology,N/A,"""Phone yakwendera nkhongono ya setilayiti kuti yikunjira mumalo gha foni ya netiweki cara, cifukwa pakukhumbika kuti munthu uwe pawalo kuti foni yako yithyeskane na satelayiti."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: Science/technology, travel, politics, sports,"
"Nangauli ŵakazipanganga pakugoneka waka vikuni panji mathabwa ghaŵiri apo pakujumphanga vikochikali, nthowa izi zikawovwiranga kuti mahaci ghaguzenge vinthu mwaluŵiro kweniso vinthu vinandi kwambula suzgo kukuyaniskana na para mahaci ghakuguza vinthu pa nthowa zakugimikagimika.",science/technology,N/A,"""Nangauli ŵakazipanganga pakugoneka waka vikuni panji mathabwa ghaŵiri apo pakujumphanga vikochikali, nthowa izi zikawovwiranga kuti mahaci ghaguzenge vinthu mwaluŵiro kweniso vinthu vinandi kwambula suzgo kukuyaniskana na para mahaci ghakuguza vinthu pa nthowa zakugimikagimika."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: sciences/technology. You can also say that science"
"Ŵanthu ŵamanya vya vinthu nga ni golide, siliva na mkuŵa kufuma papo kale, cifukwa vinthu nga ni ivi vikusangika mu cilengiwa ndipo nchipusu kuvisanga pakujima na virwero vyamukagha.",science/technology,travel,"""Ŵanthu ŵamanya vya vinthu nga ni golide, siliva na mkuŵa kufuma papo kale, cifukwa vinthu nga ni ivi vikusangika mu cilengiwa ndipo nchipusu kuvisanga pakujima na virwero vyamukagha."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: sciences, technologies and travel. The correct answer is:"
Tayara lasintha charu mu nthowa yakukondweska chomene. Chinthu chikuru chomene icho tayara latichitira ntchakuti lapangiska kuti mendero ghaŵe ghapusu kweniso tendenge luŵiro.,science/technology,N/A,"""Tayara lasintha charu mu nthowa yakukondweska chomene. Chinthu chikuru chomene icho tayara latichitira ntchakuti lapangiska kuti mendero ghaŵe ghapusu kweniso tendenge luŵiro."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science/ technology, travel and politics. Why is"
Ivi vikupangika mwakuti chithuzi chikwane pa sikilini yose. Pa chingelezi ŵakuti overscan.,science/technology,N/A,"""Ivi vikupangika mwakuti chithuzi chikwane pa sikilini yose. Pa chingelezi ŵakuti overscan."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: political.
I think this sentence is wrong, because"
Ngaraŵa za pasi pa maji za ku German zikachemekanga U-Boats. Ŵa ku German wakamanyanga makola chomene kwenda pa nyanja na kugwiriska ntchito ngaraŵa zawo za pa maji.,science/technology,N/A,"""Ngaraŵa za pasi pa maji za ku German zikachemekanga U-Boats. Ŵa ku German wakamanyanga makola chomene kwenda pa nyanja na kugwiriska ntchito ngaraŵa zawo za pa maji."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science/technology, travel, politics, sports,"
"Nangawuli kawonekero kake kangasintha, kweni kaŵiro na pangikiro kake kakusintha cara.",science/technology,N/A,"""Nangawuli kawonekero kake kangasintha, kweni kaŵiro na pangikiro kake kakusintha cara."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: travel, politics, sports, health, entertainment,"
Pachanya pa maji mphakukorana chifukwa chakuti tunthu uto tukupanga maji uto tukuŵa pachanya pa maji tukudemelerana chomene kuluska umo tukudemelera ku tunthu uto tukupanga mphepo ya pachanya pake.,science/technology,N/A,"""Pachanya pa maji mphakukorana chifukwa chakuti tunthu uto tukupanga maji uto tukuŵa pachanya pa maji tukudemelerana chomene kuluska umo tukudemelera ku tunthu uto tukupanga mphepo ya pachanya pake."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: Science/Technology, Travel, Politics, Sports,"
Suzgo limoza likulu ilo likuŵapo pakusintha filimu kuti yiye mu mtundu wa mafilimu gha mu DVD njakuti yikutondeka kukwana sikilini yose.,science/technology,N/A,"""Suzgo limoza likulu ilo likuŵapo pakusintha filimu kuti yiye mu mtundu wa mafilimu gha mu DVD njakuti yikutondeka kukwana sikilini yose."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: 1 . ""But it's important to know."""
"Pa chigaŵa ichi, ŵakuti munthu wangamanya usange munthu munyake wakuteta para wangang'anamulira makora umo chisko chake chikuwonekera.",science/technology,N/A,"""Pa chigaŵa ichi, ŵakuti munthu wangamanya usange munthu munyake wakuteta para wangang'anamulira makora umo chisko chake chikuwonekera."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: Science/technology, travel, politics, sports,"
Golide ŵangawumbira chinthu cha mawonekero ghalighose. Kweniso lingawumbika kuŵa tunthu tuchoko chomene.,science/technology,N/A,"""Golide ŵangawumbira chinthu cha mawonekero ghalighose. Kweniso lingawumbika kuŵa tunthu tuchoko chomene."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: ""politics and travel, health, entertainment,"
"Kacitiro ka Al sono kakugwiriskika nchito pa nkhani za cuma, vyamankhwala, vyakuzenga na vya nkhondo ndipo kakusangika mu magemu gha mu kompyuta ghanandi.",science/technology,N/A,"""Kacitiro ka Al sono kakugwiriskika nchito pa nkhani za cuma, vyamankhwala, vyakuzenga na vya nkhondo ndipo kakusangika mu magemu gha mu kompyuta ghanandi."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: (a) science/technology, travel, politics"
"Yakupangika nipera mpaka muhanya uno, kweni yakugwiritsika ntchito chomene chara kuyaniskana na makamera ayo yakujambura vithuzi na kanema kwambura kugwiriska ntchito pepala la munkhwala.",science/technology,N/A,"""Yakupangika nipera mpaka muhanya uno, kweni yakugwiritsika ntchito chomene chara kuyaniskana na makamera ayo yakujambura vithuzi na kanema kwambura kugwiriska ntchito pepala la munkhwala."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: The correct answer is: science/technology, travel,"
