text,actual_category,predicted_category,confidence
"מוטציה מוסיפה שונות גנטית חדשה, וסלקציה מוחקת אותה ממאגר השונות המבוטאת.",science/technology,travel,0.3788495659828186
פצצת ההיתוך פועלת על פי העיקרון שצריך אנרגיה כדי להרכיב גרעין עם פרוטונים וניוטרונים רבים.,science/technology,travel,0.5022434592247009
הגרעין מורכב משני סוגי חלקיקים - ניוטרונים ופרוטונים.,science/technology,sports,0.48715531826019287
זה אפשר לעדשות זום להפיק תמונות באיכות דומה לזו שהושגה באמצעות עדשות עם אורך מוקד קבוע.,science/technology,travel,0.6206157803535461
"הם טובים מדפדפני פרוקסי ממספר סיבות: הם מנתבים מחדש את כל הפעילות האינטרנטית, לא רק פעילות מסוג http.",science/technology,travel,0.5046518445014954
עיצוב אינטראקטיבי דורש הערכה מחודשת של ההנחות שלכם לגבי הפקת מדיה ושתלמדו לחשוב בדרכים לא ליניאריות.,science/technology,travel,0.48174840211868286
"זה נהפך לנוהל מקובל, אך הברזל שחק עוד יותר את גלגלי העץ של העגלות.",science/technology,travel,0.5432886481285095
"להקות מורכבות מאחד עד שלושה זכרים מבוגרים קרובי משפחה, לצד לא פחות משלושים נקבות וגורים.",science/technology,travel,0.6639288663864136
"למרות שבינה מלאכותית מעלה קונוטציה חזקה של מדע בדיוני, היא מהווה ענף חשוב ביותר של מדעי המחשב, העוסק בהתנהגות, למידה והסתגלות תבונית של מכונות.",science/technology,travel,0.49667903780937195
לכן יחס הרוחב-גובה של פורמט זה (חלקי שניים עשר כדי לקבל את יחס המספרים השלמים הפשוט ביותר) אמור להיות 3:2.,science/technology,travel,0.4669625163078308
"בדרך כלל טלפון לווייני אינו תחליף לטלפון נייד, מכיוון שצריך להיות בחוץ עם קו ראייה נקי ללוויין כדי לבצע שיחת טלפון.",science/technology,travel,0.589397668838501
"למרות שמסילות העגלות היו בנויות מקורות עץ מקבילות בלבד, הן אפשרו לסוסים המושכים אותן להגיע למהירויות גבוהות יותר ולסחוב מטענים גדולים יותר מאשר בכבישים המחוספסים מעט יותר של התקופה.",science/technology,science/technology,0.28065210580825806
"בני אדם הכירו יסודות כימיים בסיסיים כגון זהב, כסף ונחושת מאז העת העתיקה, שכן ניתן לגלות את כל אלו בטבע בצורתם המקורית והם יחסית פשוטים לכרייה באמצעות כלים פרימיטיביים.",science/technology,travel,0.5719033479690552
הגלגל שינה את העולם בדרכים מדהימות. הדבר הגדול ביותר שהגלגל עשה עבורנו הוא לתת לנו כלי תחבורה הרבה יותר קלים ומהירים.,science/technology,travel,0.46015629172325134
זה נועד להבטיח שהתמונה תכסה את כל המסך. זה נקרא סריקת יתר.,science/technology,travel,0.6826395988464355
צוללות גרמניות כונו U-Boats. הגרמנים היו טובים מאוד בניווט ובתפעול הצוללות שלהם.,science/technology,travel,0.3937024176120758
"למרות שמצבו הפיזי יכול להשתנות, המצב הכימי שלו נשאר אותו דבר.",science/technology,travel,0.4484415054321289
מתח פנים נוצר משום שמולקולות המים שעל פני המים נמשכות זו לזו יותר מאשר למולקולות האוויר שמעליהן.,science/technology,sports,0.4216492772102356
אחת הבעיות הנפוצות ביותר כשמנסים להמיר סרט לפורמט DVD היא סריקת היתר.,science/technology,travel,0.34640222787857056
"ובפרט, נטען כי ניתן לזהות אם אדם משקר על ידי פירוש נכון של מיקרו-ביטויים.",science/technology,sports,0.6143681406974792
ניתן לעבד זהב לכל מיני צורות. ניתן לגלגל אותו לצורות קטנטנות.,science/technology,travel,0.2965986132621765
"בדרך כלל משתמשים במערכת הבינה המלאכותית בתחומי הכלכלה, רפואה, הנדסה וצבא. כמו כן, היא הותקנה במספר תוכנות למחשבים ביתיים ומשחקי מחשב.",science/technology,travel,0.5867212414741516
"הוא עדיין מיוצר היום, אך חשוב מכך, יחס הגובה-רוחב שלו עבר בירושה לפורמטים של דימות במצלמה דיגיטלית.",science/technology,health,0.5070815682411194
"חוק השלישים, שספג קיטונות של לעג ושימוש לרעה, הוא הנחיה פשוטה ליצירת דינמיות תוך שמירה על מידה של סדר בתמונה.",science/technology,travel,0.453809916973114
"לא רק שזה מאשר שלפחות לחלק מהדינוזאורים היו נוצות, תיאוריה שכבר רווחת, אלא גם מספק פרטים שמאובנים לר מסוגלים לספק בדרך כלל, כמו צבע וסידור תלת-מימדי.",science/technology,travel,0.5968950390815735
"איך כוח המשיכה של איו יפעל עליי? אם תעמדו על פני השטח של איו, תשקלו פחות משאתם שוקלים על פני כדור הארץ.",science/technology,health,0.5234031677246094
NextGen היא מערכת שלטענת ה-FAA תאפשר למטוסים לטוס נתיבים קצרים יותר ולחסוך מיליוני גלונים של דלק בכל שנה ולצמצם את פליטת הפחמן.,science/technology,travel,0.7039604187011719
נתונים נוירוביולוגיים מספקים ראיות פיזיות לגישה תאורטית לחקר ההכרה. לכן זה מצמצם את תחום המחקר ועושה אותו למדויק יותר.,science/technology,travel,0.3349445164203644
"""במהלך נאומו בן השעתיים הוא הצהיר כי היום אפל הולכת להמציא מחדש את הטלפון, אנחנו הולכים לעשות היסטוריה היום.""",science/technology,travel,0.580960750579834
החיסרון של עדשות זום הוא שהמורכבות והמספר של מרכיבי עדשה הדרושים כדי להשיג טווח של אורכי מוקד גדולים בהרבה מאשר עדשות עם מוקד קבוע.,science/technology,travel,0.5664253830909729
"בקר המשחק דומה לשלט טלוויזיה ומשתמש בשני חיישנים, הממוקמים קרוב לטלוויזיה של המשתמש, כדי לחשב את מיקומו במרחב תלת-ממדי.",science/technology,travel,0.5036462545394897
מדענים אומרים שצבע נוצות בעל החיים היה חום-ערמוני למעלה עם גוון קרטנואידי חיוור בחלק התחתון.,science/technology,travel,0.7165591716766357
חוקרים באוניברסיטה אמרו כי שתי התרכובות מגיבות זו לזו זו ויוצרות גבישים שעלולים לחסום את תפקוד הכליות.,science/technology,travel,0.5900646448135376
"""זה נותן רזולוציה גבוהה כמעט פי 4 מאשר תשליל 35 ממ  (3136 ממ רבוע לעומת 864).""",science/technology,travel,0.5187541246414185
"הודות לחיבורי הכבל האופטי התת-ימי בין אירופה ולוויין פס רחב, גרינלנד מחוברת היטב עם 93% מהאוכלוסייה בעלי גישה לאינטרנט.",science/technology,travel,0.4065347909927368
